<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ASTR;D;20231013;000000;466.2;466.2;466.2;466.2;854970;398587014
ASTR;D;20231016;000000;512.8;651.7;502;560;19488378;10931549315.4
ASTR;D;20231017;000000;569.65;590;524;531.6;5739684;3175043690.55
ASTR;D;20231018;000000;531.6;536.3;502.35;506;3334286;1710731159.75
ASTR;D;20231019;000000;506;514.5;495.15;502.7;1643222;826340238.25
ASTR;D;20231020;000000;505.9;506.1;480.1;480.75;1345640;657426601.7
ASTR;D;20231023;000000;477;522.8;467;497.7;3655751;1811719789.7
ASTR;D;20231024;000000;498.05;512.65;495;501;1154452;582167410.1
ASTR;D;20231025;000000;501.2;515;491;505.5;871663;441195847.65
ASTR;D;20231026;000000;505.5;521.2;503;503.45;1037604;532758431.85
ASTR;D;20231027;000000;503.45;507.75;493.5;499.1;411928;206303578.15
ASTR;D;20231030;000000;497.2;500.05;480.2;491;438334;214862574.25
ASTR;D;20231031;000000;491;504.7;475.05;488;512710;250730277.45
ASTR;D;20231101;000000;491;504.8;488;493.25;321887;160049237.7
ASTR;D;20231102;000000;495.95;506;490.4;490.5;516333;258171531.7
ASTR;D;20231103;000000;493.25;501.6;491;496;222588;110807626.2
ASTR;D;20231106;000000;497.95;518;496.2;516.95;675679;344685460.1
ASTR;D;20231107;000000;518.95;531.9;511;515.15;893920;466420441.8
ASTR;D;20231108;000000;515.4;517;507.4;510.25;200775;102580364.3
ASTR;D;20231109;000000;508;511;500;505.75;202443;102381921.65
ASTR;D;20231110;000000;505.75;508.75;496.5;507.05;288738;145196282.75
ASTR;D;20231113;000000;509;511.75;500;501.5;254515;127950655.45
ASTR;D;20231114;000000;501.5;511.9;490;502.85;486941;244938246.85
ASTR;D;20231115;000000;502;505.7;497;503.7;255628;128098173.25
ASTR;D;20231116;000000;500.05;519.85;500.05;516.45;984324;507336034.8
ASTR;D;20231117;000000;517.3;540;509;533.45;1374837;728123295.65
ASTR;D;20231120;000000;537.3;550;512;517.15;1586643;838266708.05
ASTR;D;20231121;000000;513.5;522;506;515.15;489635;250987176.55
ASTR;D;20231122;000000;515.15;516.9;509;513.35;316507;162234539.75
ASTR;D;20231123;000000;513.35;513.35;506.05;509.45;283370;144331424.85
ASTR;D;20231124;000000;511.75;511.75;501.05;508.2;236478;119585307.2
ASTR;D;20231127;000000;508;508.15;480;492.5;594848;294386706.65
ASTR;D;20231128;000000;490.5;494;481.3;492.45;459986;223601277.3
ASTR;D;20231129;000000;492.45;493.9;485;485.65;221533;108066307.75
ASTR;D;20231130;000000;488.05;488.05;478.55;481;285992;137945501.85
ASTR;D;20231201;000000;483.05;483.05;470;476.4;289104;137322567.2
ASTR;D;20231204;000000;476;477.95;461;464.4;299503;140731864.95
ASTR;D;20231205;000000;464.45;477.95;464.45;477.9;242551;114034770.9
ASTR;D;20231206;000000;478.7;480.9;459.05;461.8;346340;161417591.9
ASTR;D;20231207;000000;461.8;480;450;467.05;705572;328833962.45
ASTR;D;20231208;000000;466.85;473.25;460;461.9;216319;100271898.45
ASTR;D;20231211;000000;464.2;468.6;444;450;372445;168776911.5
ASTR;D;20231212;000000;453;454.8;445;450.2;320893;144375241
ASTR;D;20231213;000000;450;464.5;446.7;463.9;275147;126194209.65
ASTR;D;20231214;000000;466;477.3;460.3;470;368015;173601303.8
ASTR;D;20231215;000000;470;487.4;458.25;474.7;333832;159503454.85
ASTR;D;20231218;000000;476;494.3;476;493;459518;224259957.75
ASTR;D;20231219;000000;492;499.55;487.5;495.9;478325;237299740.6
ASTR;D;20231220;000000;499.6;523.7;496.3;517;1007447;518741495.1
ASTR;D;20231221;000000;517;519;505.65;511;362284;185645330.75
ASTR;D;20231222;000000;508;523.7;507.7;516.4;229934;119090081.05
ASTR;D;20231225;000000;517.4;529.55;507.15;519.3;482548;251204165.3
ASTR;D;20231226;000000;522.8;522.8;507.05;510.3;191738;98212035.85
ASTR;D;20231227;000000;510.05;512.3;500.4;503.7;167527;84700612.35
ASTR;D;20231228;000000;503.75;517;493.05;496.6;230872;115746214.35
ASTR;D;20231229;000000;501.5;507.1;497.85;501.5;121887;61391974.95
ASTR;D;20240103;000000;506.35;515.9;502.25;513.1;158386;81092253.85
ASTR;D;20240104;000000;515.15;516.8;506;512;105504;54095755.45
ASTR;D;20240105;000000;513;518.95;508.1;514.6;155010;79641718.75
ASTR;D;20240108;000000;514.05;521.6;510.65;520.25;216047;112002485.2
ASTR;D;20240109;000000;520.3;541.8;513.3;533;1040106;552009117.6
ASTR;D;20240110;000000;533;544;522.85;525.6;475176;252947798.4
ASTR;D;20240111;000000;528;531.15;515.25;522.1;360168;187688564.55
ASTR;D;20240112;000000;523.7;533.75;516.55;524.9;338344;178652394.3
ASTR;D;20240115;000000;529.5;531.8;521;526.55;148753;78299477.6
ASTR;D;20240116;000000;526.6;527.85;518;524.05;179969;94079276.65
ASTR;D;20240117;000000;524.5;529.6;519.55;525.3;193849;101789367.35
