<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
DIXY;D;20120409;000000;378.94;378.94;375.73;375.73;380;143475.4
DIXY;D;20120410;000000;374.99;378.46;374.98;375;1140;427692.2
DIXY;D;20120411;000000;375.02;378.76;375;378;5440;2040522.8
DIXY;D;20120412;000000;378.89;384.5;378.89;382;5510;2104371.9
DIXY;D;20120413;000000;382.25;386;379.99;379.99;7820;2994939.8
DIXY;D;20120416;000000;379.99;383.07;373;373;3720;1397652.6
DIXY;D;20120417;000000;367.02;380;367.02;379;150;56361.7
DIXY;D;20120418;000000;354;378;352.55;370.11;19790;7361706.7
DIXY;D;20120419;000000;371;372;368;370.95;9010;3338849.8
DIXY;D;20120420;000000;365.09;370.98;357.22;368.2;11480;4154013.5
DIXY;D;20120423;000000;364.71;370.98;363;369.46;6340;2329638.4
DIXY;D;20120424;000000;369.68;371.99;363.51;365;57690;21287597
DIXY;D;20120425;000000;366.73;378.72;366.73;376.15;49310;18191854.2
DIXY;D;20120426;000000;376;376;372;374.49;3270;1218283
DIXY;D;20120427;000000;373.96;373.98;370.05;373;3500;1302253.1
DIXY;D;20120428;000000;374;377;371.01;373.43;500;187287.9
DIXY;D;20120502;000000;374;374;366.66;367;25560;9520386.3
DIXY;D;20120503;000000;369.1;370;365;365.01;1290;472745.1
DIXY;D;20120504;000000;365;365.01;322;343;26810;9228618.5
DIXY;D;20120505;000000;340.13;347.94;332.03;334.8;3610;1228062.4
DIXY;D;20120507;000000;333.06;333.55;328;333.55;3570;1180985.5
DIXY;D;20120508;000000;338.97;342.97;326.63;328.99;8530;2855292
DIXY;D;20120510;000000;330;332;322.02;325;68090;22212430.5
DIXY;D;20120511;000000;320.04;320.52;305;313.5;59450;18600412.2
DIXY;D;20120512;000000;314;319;313;315;20570;6466915.6
DIXY;D;20120514;000000;313.99;313.99;309.79;311;32460;10102062.7
DIXY;D;20120515;000000;311.9;320;300.01;311;21230;6534606.7
DIXY;D;20120516;000000;308.23;310.9;302.03;307.01;2250;691631.7
DIXY;D;20120517;000000;301.25;315.5;282.17;295;10390;3123771.2
DIXY;D;20120518;000000;282.3;294;282.3;293.97;2780;808925.7
DIXY;D;20120521;000000;300.11;324.89;294.99;307;2860;871479.9
DIXY;D;20120522;000000;321.26;323.77;314.19;320;1820;581397.1
DIXY;D;20120523;000000;316.84;316.84;304;304;870;268527
