<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
FEES;D;20221110;000000;0.0855;0.08784;0.0839;0.08746;488060000;41957106.8
FEES;D;20221111;000000;0.08752;0.0878;0.086;0.0873;734480000;64234603.8
FEES;D;20221114;000000;0.087;0.09076;0.08682;0.08954;759050000;66968679.8
FEES;D;20221115;000000;0.08994;0.08994;0.08402;0.08654;1259050000;110066398.2
FEES;D;20221116;000000;0.08682;0.08766;0.0865;0.0875;712700000;62275322.2
FEES;D;20221117;000000;0.08742;0.08838;0.08672;0.08746;400110000;34959048.4
FEES;D;20221118;000000;0.08724;0.0879;0.0855;0.08698;592640000;51265657
FEES;D;20221121;000000;0.087;0.08742;0.08512;0.08614;511240000;44008985.2
FEES;D;20221122;000000;0.086;0.08734;0.0842;0.08654;561640000;48601269
FEES;D;20221123;000000;0.08654;0.08726;0.08514;0.08614;633220000;54620787.6
FEES;D;20221124;000000;0.08714;0.0876;0.08638;0.087;483480000;42117033.6
FEES;D;20221125;000000;0.0875;0.0876;0.08682;0.08722;438230000;38270536.4
FEES;D;20221128;000000;0.0872;0.0876;0.08566;0.08644;821880000;71022772.4
FEES;D;20221129;000000;0.08676;0.0873;0.08604;0.08708;392080000;34062289.6
FEES;D;20221130;000000;0.08712;0.08716;0.0861;0.08658;407630000;35278926.2
FEES;D;20221201;000000;0.08658;0.0872;0.08604;0.0866;302130000;26190483.8
FEES;D;20221202;000000;0.0866;0.0866;0.08568;0.086;273040000;23486995.8
FEES;D;20221205;000000;0.08592;0.08652;0.08528;0.08576;433980000;37289403
FEES;D;20221206;000000;0.0865;0.0865;0.0847;0.08498;408510000;34828895.8
FEES;D;20221207;000000;0.08496;0.08686;0.08412;0.08614;1037710000;88242644.2
FEES;D;20221208;000000;0.08602;0.08644;0.08494;0.08572;374210000;32024503
FEES;D;20221209;000000;0.08574;0.08574;0.08476;0.08506;249090000;21206273
FEES;D;20221212;000000;0.085;0.0852;0.08446;0.08468;384010000;32549298.2
FEES;D;20221213;000000;0.08454;0.08518;0.08454;0.0846;438240000;37217088
FEES;D;20221214;000000;0.0851;0.086;0.08442;0.08488;401700000;34230169.2
FEES;D;20221215;000000;0.08442;0.0859;0.084;0.0848;416540000;35296610.8
FEES;D;20221216;000000;0.08494;0.08552;0.0846;0.08494;298910000;25420116
FEES;D;20221219;000000;0.08494;0.08494;0.08286;0.08376;716070000;60072958
FEES;D;20221220;000000;0.0835;0.0882;0.0835;0.08634;2331140000;202286925.2
FEES;D;20230111;000000;0.09376;0.09388;0.08654;0.0879;3814620000;338718429.2
FEES;D;20230112;000000;0.088;0.088;0.08634;0.08736;791180000;68844763
FEES;D;20230113;000000;0.0875;0.0875;0.08652;0.0873;1000690000;87051973.6
FEES;D;20230116;000000;0.0875;0.08794;0.08664;0.0873;1108040000;96692703.4
FEES;D;20230117;000000;0.0873;0.08734;0.0855;0.08564;709560000;61314894.6
FEES;D;20230118;000000;0.08526;0.08674;0.085;0.08548;728680000;62430149.2
FEES;D;20230119;000000;0.08552;0.0859;0.0845;0.08566;647690000;55085835.4
FEES;D;20230120;000000;0.08514;0.08638;0.08472;0.08502;557920000;47668895
FEES;D;20230123;000000;0.08506;0.08578;0.08492;0.08546;338900000;28933073.6
FEES;D;20230124;000000;0.08558;0.08558;0.08482;0.08504;374620000;31908881
FEES;D;20230125;000000;0.08504;0.08504;0.0845;0.08482;365080000;30926863.2
FEES;D;20230126;000000;0.08464;0.0852;0.08446;0.08498;629620000;53373995.6
FEES;D;20230127;000000;0.08498;0.08652;0.0847;0.0864;622120000;53313302.4
FEES;D;20230130;000000;0.0865;0.0871;0.0857;0.08692;616340000;53321993
FEES;D;20230131;000000;0.087;0.0876;0.0841;0.0865;591280000;51419239.2
FEES;D;20230201;000000;0.08674;0.08748;0.086;0.08658;439390000;38017014.6
FEES;D;20230202;000000;0.08658;0.08702;0.08606;0.0862;323940000;28010051.2
FEES;D;20230203;000000;0.08664;0.08676;0.08576;0.08628;386650000;33380314.8
FEES;D;20230206;000000;0.08654;0.0874;0.08628;0.08708;453990000;39486992
FEES;D;20230207;000000;0.08704;0.0874;0.08644;0.08714;420990000;36577471.6
FEES;D;20230208;000000;0.08716;0.09164;0.08682;0.09006;3713000000;333428498
FEES;D;20230209;000000;0.09006;0.09178;0.08942;0.09052;1087380000;98314762.2
FEES;D;20230210;000000;0.0909;0.09104;0.08942;0.09024;528490000;47599135
FEES;D;20230213;000000;0.09098;0.0924;0.0906;0.0907;1214320000;111359182.4
FEES;D;20230214;000000;0.0915;0.0915;0.08804;0.08906;938690000;83883586.4
FEES;D;20230215;000000;0.08898;0.08898;0.08498;0.0854;1488470000;129090838
FEES;D;20230216;000000;0.08614;0.0869;0.0857;0.08634;540260000;46680540.6
FEES;D;20230217;000000;0.0864;0.08728;0.08562;0.0868;381010000;33017869.8
FEES;D;20230220;000000;0.08668;0.08698;0.08548;0.0864;317590000;27337026.6
FEES;D;20230221;000000;0.0864;0.0883;0.0863;0.08712;546470000;47757672.6
FEES;D;20230222;000000;0.08712;0.08742;0.08658;0.08682;266640000;23162386.6
FEES;D;20230224;000000;0.08682;0.08786;0.0868;0.0878;175200000;15319376
FEES;D;20230227;000000;0.08744;0.0888;0.08706;0.08834;612680000;54005912.4
FEES;D;20230228;000000;0.08888;0.08944;0.08816;0.0893;775310000;68773725
FEES;D;20230301;000000;0.08952;0.08968;0.0888;0.0895;627190000;55937158.4
FEES;D;20230302;000000;0.0891;0.08948;0.0871;0.08788;1159340000;101960424
FEES;D;20230303;000000;0.08776;0.08872;0.08714;0.0887;414680000;36566852.8
FEES;D;20230306;000000;0.0887;0.08982;0.08866;0.08982;723490000;64516543.8
FEES;D;20230307;000000;0.08988;0.09;0.0886;0.08974;777840000;69505654.8
FEES;D;20230309;000000;0.0898;0.09298;0.089;0.09174;2653980000;242087818.8
FEES;D;20230310;000000;0.09198;0.0928;0.09036;0.0918;1051680000;96481714.2
FEES;D;20230313;000000;0.09284;0.095;0.09194;0.0926;2468190000;230559737.4
FEES;D;20230314;000000;0.09264;0.09298;0.09168;0.0923;1791860000;165916021
FEES;D;20230315;000000;0.0918;0.09268;0.08904;0.0909;1139840000;103770739
FEES;D;20230316;000000;0.0909;0.09118;0.0883;0.09044;1009460000;90651085.4
FEES;D;20230317;000000;0.09056;0.09084;0.0892;0.09034;1274140000;114644435
FEES;D;20230320;000000;0.0903;0.09298;0.09002;0.0928;1465480000;134343632.4
FEES;D;20230321;000000;0.0934;0.0935;0.09112;0.09212;1339310000;124072280.4
FEES;D;20230322;000000;0.09172;0.09346;0.0912;0.09246;726480000;66912326
FEES;D;20230323;000000;0.09286;0.09286;0.09134;0.09258;563000000;51986553.8
FEES;D;20230324;000000;0.09258;0.09438;0.09236;0.09422;1180740000;110559196.8
FEES;D;20230327;000000;0.09462;0.09642;0.09436;0.09616;1601690000;153054592.4
FEES;D;20230328;000000;0.09642;0.09642;0.09432;0.0958;993920000;94890509
FEES;D;20230329;000000;0.09598;0.09628;0.0946;0.0948;863960000;82547187
FEES;D;20230330;000000;0.09506;0.102;0.09482;0.10078;5259540000;521071449.6
FEES;D;20230331;000000;0.1013;0.1013;0.09768;0.09916;2732890000;270209532.2
FEES;D;20230403;000000;0.09946;0.10198;0.09864;0.1019;2694030000;269937931
FEES;D;20230404;000000;0.10246;0.10636;0.1002;0.10216;4081950000;422509379
FEES;D;20230405;000000;0.1018;0.1043;0.09996;0.10246;2329550000;238734593.2
FEES;D;20230406;000000;0.10316;0.1034;0.10002;0.10142;1443750000;147140503.4
FEES;D;20230407;000000;0.1014;0.10244;0.10052;0.10228;731100000;74050930.8
FEES;D;20230410;000000;0.10228;0.1045;0.10188;0.10438;1774180000;183545219.8
FEES;D;20230411;000000;0.10458;0.11052;0.10212;0.1049;8069910000;866118507.4
FEES;D;20230412;000000;0.10594;0.10622;0.1028;0.10394;1883370000;195933115.8
FEES;D;20230413;000000;0.104;0.10588;0.10238;0.10544;1209740000;125985369.6
FEES;D;20230414;000000;0.1055;0.1055;0.10378;0.105;641340000;67177145.8
FEES;D;20230417;000000;0.1053;0.108;0.1051;0.10706;1168750000;124586920.8
FEES;D;20230418;000000;0.1072;0.10776;0.10564;0.1069;948670000;101100935.2
FEES;D;20230419;000000;0.10708;0.10734;0.1031;0.1044;2230430000;235158013.8
FEES;D;20230420;000000;0.1041;0.1044;0.1011;0.10382;1178580000;121737862.6
FEES;D;20230421;000000;0.10302;0.10598;0.10302;0.10452;1012860000;105861729
FEES;D;20230424;000000;0.1046;0.10688;0.10356;0.10542;1402670000;147689463.6
