<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
FIXP;D;20250820;000000;1.17;1.17;0.911;0.972;1687754000;1645703797.4
FIXP;D;20250821;000000;0.97;0.9733;0.905;0.9159;516935000;481394243
FIXP;D;20250822;000000;0.916;0.9243;0.86;0.865;482855000;422990627.5
FIXP;D;20250825;000000;0.865;0.8748;0.8447;0.8512;248429000;212601052.7
FIXP;D;20250826;000000;0.8514;0.8723;0.8454;0.8507;133856000;114453798.8
FIXP;D;20250827;000000;0.854;0.8814;0.8484;0.8704;245793000;213901894.9
FIXP;D;20250828;000000;0.8771;0.8941;0.831;0.845;685227000;595058335.8
FIXP;D;20250829;000000;0.843;0.8535;0.835;0.8367;146483000;123468205.6
FIXP;D;20250901;000000;0.8373;0.849;0.8241;0.8298;178905000;149593828.1
FIXP;D;20250902;000000;0.8298;0.8336;0.8091;0.815;275544000;225982117.9
FIXP;D;20250903;000000;0.815;0.8197;0.7991;0.805;202397000;163343936.6
FIXP;D;20250904;000000;0.805;0.8107;0.789;0.7935;170319000;135646688.8
FIXP;D;20250905;000000;0.7935;0.7984;0.7757;0.7787;228737000;178800472.2
FIXP;D;20250908;000000;0.7789;0.7847;0.7714;0.7828;227929000;177450294.3
FIXP;D;20250909;000000;0.783;0.7929;0.772;0.7761;144502000;112688825.5
FIXP;D;20250910;000000;0.7776;0.7805;0.768;0.7687;116507000;89939255.4
FIXP;D;20250911;000000;0.7687;0.7719;0.7535;0.7598;137438000;104522255.4
FIXP;D;20250912;000000;0.7612;0.765;0.7453;0.7461;151029000;113668342.2
FIXP;D;20250915;000000;0.746;0.75;0.72;0.7208;190831000;139780271.4
FIXP;D;20250916;000000;0.7238;0.724;0.6883;0.7003;343652000;241583670.1
FIXP;D;20250917;000000;0.7033;0.7047;0.6879;0.6938;170761000;118469400
FIXP;D;20250918;000000;0.6935;0.716;0.6909;0.6944;159517000;111960932.5
FIXP;D;20250919;000000;0.6944;0.7048;0.689;0.689;102954000;71332718.2
FIXP;D;20250922;000000;0.69;0.6951;0.666;0.6773;169618000;114699971.8
FIXP;D;20250923;000000;0.6748;0.7055;0.644;0.6527;341944000;230308349.9
FIXP;D;20250924;000000;0.6529;0.6583;0.64;0.6529;160210000;104224889.5
FIXP;D;20250925;000000;0.655;0.6645;0.6303;0.6348;162633000;105228407.3
FIXP;D;20250926;000000;0.638;0.6384;0.6202;0.6284;203579000;127861558
FIXP;D;20250929;000000;0.6285;0.6316;0.6016;0.6095;231359000;142886952.4
FIXP;D;20250930;000000;0.6115;0.6121;0.5926;0.597;256405000;153571274.2
FIXP;D;20251001;000000;0.5936;0.6024;0.5805;0.5852;133932000;79153462.7
FIXP;D;20251002;000000;0.5875;0.5994;0.5741;0.5825;117111000;68179493.6
FIXP;D;20251003;000000;0.5826;0.5938;0.567;0.568;142185000;82687996
FIXP;D;20251006;000000;0.5701;0.591;0.554;0.5851;251327000;144120254
FIXP;D;20251007;000000;0.5877;0.6422;0.5781;0.6297;369961000;226330355.4
FIXP;D;20251008;000000;0.6282;0.642;0.5818;0.606;316839000;194301765.7
FIXP;D;20251009;000000;0.607;0.6173;0.5624;0.603;145572000;86585901.7
FIXP;D;20251010;000000;0.603;0.622;0.583;0.5946;190147000;115037339.4
FIXP;D;20251013;000000;0.5969;0.658;0.5947;0.6495;742618000;472433037.7
FIXP;D;20251014;000000;0.652;0.664;0.628;0.6327;250807000;161932417.8
FIXP;D;20251015;000000;0.6351;0.6511;0.6082;0.619;172730000;108728766.3
FIXP;D;20251016;000000;0.6232;0.65;0.6085;0.6461;173398000;109105266.3
FIXP;D;20251017;000000;0.6468;0.6498;0.6287;0.6366;138503000;87883643.2
FIXP;D;20251020;000000;0.6366;0.6499;0.6287;0.64;192351000;122945243.7
FIXP;D;20251021;000000;0.637;0.6417;0.613;0.6255;126064000;79008215.5
FIXP;D;20251022;000000;0.6212;0.64;0.6123;0.6208;152124000;96170513.2
