<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
HEAD;D;20240926;000000;3899;4095;3719;3935;2378148;9245555078
HEAD;D;20240927;000000;3949;4258;3940;4198;1061293;4361545653
HEAD;D;20240930;000000;4250;4498;4230;4498;982534;4321188172
HEAD;D;20241001;000000;4490;4548;4281;4281;914313;3990695382
HEAD;D;20241002;000000;4299;4400;4159;4226;587857;2536515647
HEAD;D;20241003;000000;4305;4383;4264;4280;972765;4195709837
HEAD;D;20241004;000000;4285;4305;4182;4240;405414;1721061587
HEAD;D;20241007;000000;4240;4270;4103;4164;344630;1437843374
HEAD;D;20241008;000000;4150;4256;4054;4201;497384;2077078650
HEAD;D;20241009;000000;4200;4248;4160;4170;212420;890970841
HEAD;D;20241010;000000;4191;4219;4152;4189;208807;874069783
HEAD;D;20241011;000000;4187;4187;4102;4140;133935;556780322
HEAD;D;20241014;000000;4150;4189;4063;4150;288887;1189693922
HEAD;D;20241015;000000;4144;4183;4119;4149;225349;936880189
HEAD;D;20241016;000000;4160;4218;4100;4117;246204;1020540625
HEAD;D;20241017;000000;4120;4159;4095;4113;172738;711407268
HEAD;D;20241018;000000;4113;4131;4069;4070;157625;646267628
HEAD;D;20241021;000000;4066;4113;4031;4060;188408;764708790
HEAD;D;20241022;000000;4059;4059;3933;3998;368515;1467383327
HEAD;D;20241023;000000;3984;4177;3911;4090;634616;2594249631
HEAD;D;20241024;000000;4100;4231;4065;4195;382153;1588775420
HEAD;D;20241025;000000;4220;4250;4010;4160;633291;2635203807
HEAD;D;20241028;000000;4136;4136;4050;4100;277216;1135457769
HEAD;D;20241029;000000;4500;4500;4186;4312;1669968;7214096150
HEAD;D;20241030;000000;4329;4341;4275;4290;280974;1208766750
HEAD;D;20241031;000000;4250;4270;4186;4190;229771;972527918
HEAD;D;20241101;000000;4202;4249;4194;4228;152088;642880167
HEAD;D;20241102;000000;4233;4269;4221;4245;91695;389547163
HEAD;D;20241105;000000;4283;4297;4246;4262;174821;745678884
HEAD;D;20241106;000000;4300;4343;4273;4297;314362;1353382845
HEAD;D;20241107;000000;4299;4315;4276;4313;99728;428799538
HEAD;D;20241108;000000;4320;4400;4317;4399;207701;905481649
HEAD;D;20241111;000000;4431;4500;4370;4400;410165;1822954566
HEAD;D;20241112;000000;4400;4416;4330;4385;231041;1010014944
HEAD;D;20241113;000000;4390;4500;4362;4498;402641;1791918790
HEAD;D;20241114;000000;4465;4544;4385;4435;532640;2388156856
HEAD;D;20241115;000000;4500;4518;4402;4466;352899;1574768653
HEAD;D;20241118;000000;4400;4480;4350;4453;223837;995886212
HEAD;D;20241119;000000;4460;4465;4285;4360;276265;1210303600
HEAD;D;20241120;000000;4360;4409;4320;4331;171571;748865072
HEAD;D;20241121;000000;4345;4365;4210;4240;218013;931654381
HEAD;D;20241122;000000;4300;4330;4225;4251;186085;796196504
HEAD;D;20241125;000000;4250;4268;4101;4155;320981;1343515492
HEAD;D;20241126;000000;4131;4175;4032;4051;380078;1564661699
HEAD;D;20241127;000000;4053;4110;3965;4055;331122;1335795356
HEAD;D;20241128;000000;4170;4174;4079;4135;171385;706255083
HEAD;D;20241129;000000;4141;4192;4080;4159;145014;602531771
HEAD;D;20241202;000000;4200;4300;4191;4270;264344;1128767115
HEAD;D;20241203;000000;4285;4311;4200;4233;167553;712229997
HEAD;D;20241204;000000;4233;4262;4180;4189;143659;607211247
HEAD;D;20241205;000000;4190;4259;4170;4247;140794;593173232
HEAD;D;20241206;000000;4298;4317;4262;4290;203519;873745880
HEAD;D;20241209;000000;4301;4320;4281;4313;224011;964908995
HEAD;D;20241210;000000;4325;4330;4287;4297;191478;823691177
HEAD;D;20241211;000000;4300;4313;4212;4231;220078;941915935
HEAD;D;20241212;000000;4250;4278;4130;4141;296962;1246942070
HEAD;D;20241213;000000;4142;4150;4000;4010;452192;1833032247
HEAD;D;20241216;000000;4012;4062;3901;3982;752784;2974040673
HEAD;D;20241217;000000;3584;3584;2983;3060;987771;3093297245
HEAD;D;20241218;000000;3070;3177;3062;3128;289324;902505560
HEAD;D;20241219;000000;3141;3310;3138;3310;485494;1562044324
HEAD;D;20241220;000000;3299;3497;3205;3480;896525;3046946477
HEAD;D;20241223;000000;3563;3591;3491;3541;541711;1918033758
HEAD;D;20241224;000000;3540;3543;3383;3431;443552;1536437659
HEAD;D;20241225;000000;3420;3450;3370;3426;370411;1261704324
HEAD;D;20241226;000000;3440;3448;3358;3395;404289;1374766693
HEAD;D;20241227;000000;3418;3530;3395;3496;428756;1485747444
HEAD;D;20241228;000000;3500;3685;3500;3636;448470;1599422885
