<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
HYDR;D;20080522;000000;2.195;2.195;2.092;2.104;15656500;33238086.2
HYDR;D;20080523;000000;2.121;2.175;2.113;2.14;29532000;63181286
HYDR;D;20080526;000000;2.158;2.169;2.129;2.143;34365400;73802799.7
HYDR;D;20080527;000000;2.145;2.151;2.095;2.12;29492300;62753394.5
HYDR;D;20080528;000000;2.115;2.141;2.092;2.107;16438800;34854643
HYDR;D;20080529;000000;2.1;2.124;2.093;2.104;10490600;22112347.5
HYDR;D;20080530;000000;2.105;2.149;2.1;2.115;12800300;27101360.2
HYDR;D;20080602;000000;2.116;2.155;2.1;2.131;27488000;58380340.3
HYDR;D;20080603;000000;2.113;2.185;2.113;2.177;47510500;102844376.1
HYDR;D;20080604;000000;2.187;2.199;2.141;2.15;52876900;114853494.9
HYDR;D;20080605;000000;2.152;2.166;2.113;2.113;78192800;166929662.4
HYDR;D;20080606;000000;2.134;2.139;2.032;2.06;55408700;115383600.6
HYDR;D;20080607;000000;2.044;2.048;1.971;1.98;17087100;34036682.9
HYDR;D;20080609;000000;1.98;2.079;1.95;2.061;12747100;26025515.1
HYDR;D;20080610;000000;2.062;2.106;2.06;2.07;13060900;27246848.5
HYDR;D;20080611;000000;2.08;2.08;2.05;2.061;4418100;9099693.5
HYDR;D;20080616;000000;2.07;2.08;2.015;2.027;12553000;25742336.7
HYDR;D;20080617;000000;2.03;2.061;2.012;2.036;20269200;41394607.4
HYDR;D;20080618;000000;2.077;2.077;2.015;2.028;21637700;44231338.4
HYDR;D;20080619;000000;2.03;2.035;2;2.012;21842600;43914455
HYDR;D;20080620;000000;2.013;2.027;1.975;1.994;51742800;103531066.2
HYDR;D;20080623;000000;1.98;2.021;1.967;2.012;33173300;65903378.7
HYDR;D;20080624;000000;2.05;2.05;1.973;1.99;25873200;51426980.1
HYDR;D;20080625;000000;2;2;1.977;1.985;13238400;26334981.9
HYDR;D;20080626;000000;1.997;1.997;1.86;1.88;33420300;64141926.5
HYDR;D;20080627;000000;1.86;1.868;1.811;1.851;23259800;42658797.6
HYDR;D;20080630;000000;1.852;1.87;1.785;1.838;27459100;49795686.8
HYDR;D;20080701;000000;1.834;1.87;1.781;1.791;34829500;62739937.5
HYDR;D;20080702;000000;1.81;1.816;1.771;1.779;22190000;39698389.9
HYDR;D;20080703;000000;1.78;1.78;1.72;1.74;25322400;43960316.8
HYDR;D;20080704;000000;1.745;1.758;1.638;1.647;61582200;102498108.1
HYDR;D;20080707;000000;1.65;1.738;1.63;1.708;101928700;173011335.1
HYDR;D;20080708;000000;1.707;1.707;1.595;1.603;113201300;183806320.2
HYDR;D;20080709;000000;1.624;1.646;1.59;1.606;99912700;161662318.5
HYDR;D;20080710;000000;1.6;1.61;1.581;1.592;81515900;130277842.9
HYDR;D;20080711;000000;1.6;1.625;1.52;1.534;137235100;216449473.7
HYDR;D;20080714;000000;1.534;1.58;1.517;1.551;81000700;125369115.5
HYDR;D;20080715;000000;1.551;1.551;1.507;1.514;27194700;41349357.1
HYDR;D;20080716;000000;1.521;1.531;1.47;1.485;41242000;61655726.9
HYDR;D;20080717;000000;1.5;1.526;1.45;1.472;198757500;295269376.8
HYDR;D;20080718;000000;1.462;1.48;1.455;1.459;38255300;56047906.9
HYDR;D;20080721;000000;1.483;1.483;1.453;1.464;34684900;50747757.4
HYDR;D;20080722;000000;1.47;1.47;1.45;1.454;25256100;36744724.1
HYDR;D;20080723;000000;1.462;1.474;1.401;1.417;99465600;143457504.9
HYDR;D;20080724;000000;1.41;1.439;1.34;1.4;101091400;142508258.8
HYDR;D;20080725;000000;1.39;1.45;1.311;1.429;118326600;162811909.5
HYDR;D;20080728;000000;1.39;1.489;1.39;1.4;106384600;153552320.4
HYDR;D;20080729;000000;1.363;1.41;1.363;1.4;79652300;110931279.5
HYDR;D;20080730;000000;1.4;1.497;1.4;1.486;113654500;165575351
HYDR;D;20080731;000000;1.499;1.576;1.467;1.52;189193600;290833291.9
HYDR;D;20080801;000000;1.5;1.58;1.5;1.55;114761100;178371432.7
HYDR;D;20080804;000000;1.53;1.569;1.52;1.529;64642800;99085987.1
HYDR;D;20080805;000000;1.525;1.525;1.457;1.5;97374900;145751795.4
HYDR;D;20080806;000000;1.54;1.547;1.46;1.508;86525100;130518914.2
HYDR;D;20080807;000000;1.517;1.574;1.5;1.55;159176300;246527628.5
HYDR;D;20080808;000000;1.531;1.6;1.476;1.485;137819100;210525456.7
HYDR;D;20080811;000000;1.451;1.512;1.401;1.508;141060700;207327877.8
