<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
KMAZ;D;20050209;000000;13;13.8;13;13.8;7200;94960
KMAZ;D;20050210;000000;13.8;14;13.5;14;7100;99045
KMAZ;D;20050211;000000;14;14.5;13.9;14.5;3700;52329
KMAZ;D;20050214;000000;14.15;17.98;14.15;17.49;31500;478359
KMAZ;D;20050215;000000;17.45;26.1;17.45;23;16881;356447
KMAZ;D;20050216;000000;22;24;16.05;16.7;38000;675995
KMAZ;D;20050217;000000;16.8;17;16.15;16.75;137800;2290773
KMAZ;D;20050218;000000;16.8;17.5;16.8;16.98;47400;810067
KMAZ;D;20050221;000000;17;17;16.04;16.9;43400;721986
KMAZ;D;20050222;000000;16.46;16.9;16.41;16.78;4200;70314
KMAZ;D;20050224;000000;16.5;16.73;16.5;16.73;3200;52953
KMAZ;D;20050225;000000;16.9;16.9;16.52;16.75;6000;100618
KMAZ;D;20050228;000000;16.9;16.9;16.11;16.3;9800;162124
KMAZ;D;20050301;000000;16.79;16.79;16.5;16.75;12700;209810
KMAZ;D;20050302;000000;16.7;16.7;16.5;16.5;12300;202972
KMAZ;D;20050303;000000;16.5;17;16.35;16.5;74200;1231806
KMAZ;D;20050304;000000;16.39;16.8;16.39;16.5;1300;21739
KMAZ;D;20050305;000000;16.5;16.5;16.5;16.5;4400;72600
KMAZ;D;20050309;000000;16.51;16.51;16.2;16.4;31400;509244
KMAZ;D;20050310;000000;15.8;16.29;15.8;16.25;4900;79545
KMAZ;D;20050311;000000;16.23;16.25;16;16.25;3400;54988
KMAZ;D;20050314;000000;16.1;16.1;16.1;16.1;27600;444360
KMAZ;D;20050315;000000;16.01;16.5;16;16;4800;78345
KMAZ;D;20050317;000000;15.44;16.49;15.44;16;700;11353
KMAZ;D;20050318;000000;16.45;16.75;16;16;14400;237206
KMAZ;D;20050321;000000;16.01;16.01;15.9;15.9;5400;86391
KMAZ;D;20050322;000000;16;16;15.7;16;50500;807851
KMAZ;D;20050323;000000;16.1;16.1;16.1;16.1;800;12880
KMAZ;D;20050324;000000;16;16;15.8;15.8;52005;831692
KMAZ;D;20050325;000000;15.8;15.8;15.75;15.8;400;6315
KMAZ;D;20050328;000000;16;16.4;15.25;15.85;12700;202530
KMAZ;D;20050329;000000;15.8;15.8;15.8;15.8;500;7900
KMAZ;D;20050330;000000;15.28;15.28;15.28;15.28;100;1528
