<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
LEAS;D;20160115;000000;570.5;575;562;574.5;3180;1811605
LEAS;D;20160118;000000;574.5;574.5;573.5;573.5;1350;775275
LEAS;D;20160119;000000;574.5;575.1;574.2;574.2;3225480;1852076746
LEAS;D;20160120;000000;574;575;574;574.2;2154140;1236911682
LEAS;D;20160121;000000;574.8;575.1;574;574;124350;71404926
LEAS;D;20160122;000000;575.1;575.3;575.1;575.3;5220;3002544
LEAS;D;20160125;000000;575;575.4;575;575.4;5110;2939270
LEAS;D;20160126;000000;574.5;583;574.5;583;5110;2951345
LEAS;D;20160127;000000;583.5;583.5;581;582;451990;263732085
LEAS;D;20160128;000000;581;584.3;581;584.3;74760;43669518
LEAS;D;20160129;000000;582;584.5;582;584.5;455600;266289070
LEAS;D;20160201;000000;582;589;582;589;7510;4378390
LEAS;D;20160202;000000;584;586;584;585;11760;6880230
LEAS;D;20160203;000000;582;584;582;584;9750;5684250
LEAS;D;20160204;000000;581;583;581;583;9300;5412600
LEAS;D;20160205;000000;581;590;581;590;11420;6662150
LEAS;D;20160208;000000;581;584;581;584;11250;6555110
LEAS;D;20160209;000000;581;584;580;584;12640;7363520
LEAS;D;20160210;000000;582;585;580;585;7700;4493560
LEAS;D;20160211;000000;584;586;583;586;9130;5337150
LEAS;D;20160212;000000;584;589;583;589;9160;5361440
LEAS;D;20160215;000000;583;588;583;588;52370;30661500
LEAS;D;20160216;000000;585;588;584;585;190510;111369880
LEAS;D;20160217;000000;584;587;584;586;9590;5614180
LEAS;D;20160219;000000;577;588;577;588;11380;6682280
LEAS;D;20160220;000000;587;587;587;587;50;29350
LEAS;D;20160224;000000;584;588;584;585;12030;7050950
LEAS;D;20160225;000000;584;584;584;584;10;5840
LEAS;D;20160226;000000;577;577;576;576;30;17290
LEAS;D;20160229;000000;585;585;585;585;180;105300
LEAS;D;20160302;000000;575;589;575;585;560;327240
LEAS;D;20160303;000000;587;589;587;589;13040;7669000
LEAS;D;20160304;000000;589;591;589;590;25600;15099800
LEAS;D;20160309;000000;590;600;581;598;45050;26691430
LEAS;D;20160310;000000;593;598;593;598;31470;18709020
LEAS;D;20160311;000000;598;598;597;598;220;131550
LEAS;D;20160315;000000;592;598;591;593;208080;124383180
LEAS;D;20160316;000000;596;597;591;594;448470;266701990
LEAS;D;20160317;000000;598;598;586;586;208760;124795040
LEAS;D;20160318;000000;595;600;590;600;936300;560010140
LEAS;D;20160321;000000;593;595;593;595;9000;5344500
LEAS;D;20160322;000000;595;596;595;596;11980;7132090
LEAS;D;20160323;000000;595;596;595;596;12000;7144000
LEAS;D;20160324;000000;594;597;594;597;13510;8051960
LEAS;D;20160325;000000;601;602;594;595;174690;104955310
LEAS;D;20160328;000000;594;596;594;596;15000;8924500
LEAS;D;20160329;000000;594;595;594;595;15300;9101200
LEAS;D;20160330;000000;594;604;594;604;17510;10407030
LEAS;D;20160331;000000;597;597;596;596;16500;9849000
LEAS;D;20160401;000000;598;599;598;599;21020;12569970
LEAS;D;20160404;000000;591;597;400;597;12480;7438620
LEAS;D;20160405;000000;598;598;590;590;11340;6779410
LEAS;D;20160406;000000;597;599;597;598;14170;8480650
LEAS;D;20160407;000000;598;599;598;599;14020;8390970
LEAS;D;20160408;000000;598;600;598;599;25500;15259010
LEAS;D;20160411;000000;598;600;598;600;22520;13493970
LEAS;D;20160412;000000;599;601;599;600;21440;12856510
LEAS;D;20160413;000000;598;601;598;601;21270;12764220
LEAS;D;20160414;000000;600;601;600;601;15000;9005000
LEAS;D;20160415;000000;600;606;600;605;21220;12743710
