<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
MFON;D;20121128;000000;650.1;650.1;620.1;630;6290;3962382
MFON;D;20121129;000000;630;639;609.7;630;9390;5864733
MFON;D;20121130;000000;643;750;633;655;114060;74139965
MFON;D;20121203;000000;700;730;645;660;8890;5872495
MFON;D;20121204;000000;669.8;689.6;655;655.5;18620;12305696
MFON;D;20121205;000000;664.9;684.9;655.7;672;19740;13177439
MFON;D;20121206;000000;670;685.2;666.7;681;19310;13148269
MFON;D;20121207;000000;700.9;730;677.3;679.1;30650;21030608
MFON;D;20121210;000000;680;689;676;679.7;4740;3223863
MFON;D;20121211;000000;679.7;698.9;675;695;21130;14543866
MFON;D;20121212;000000;695.3;719;681;692.3;8080;5606404
MFON;D;20121213;000000;692.3;692.4;680;688.6;9050;6219890
MFON;D;20121214;000000;688.1;729;665.3;723.2;19410;13830504
MFON;D;20121217;000000;725.9;782.9;725.9;742.4;14740;11069407
MFON;D;20121218;000000;744.9;890;738;738;38090;28591095
MFON;D;20121219;000000;745;760;742.2;750;10280;7719038
MFON;D;20121220;000000;743.6;756;737.3;740;10150;7547924
MFON;D;20121221;000000;739.9;739.9;702;721.5;17100;12328899
MFON;D;20121224;000000;722.9;731.8;711.2;724.7;7070;5087685
MFON;D;20121225;000000;728.9;728.9;715.2;723.8;1040;751555
MFON;D;20121226;000000;719;731.8;715.5;727;3130;2267537
MFON;D;20121227;000000;724.1;732;715.5;725.3;8050;5834291
MFON;D;20121228;000000;731.7;731.9;722.1;723;2180;1580002
MFON;D;20130108;000000;741.9;755;727.3;748;10080;7443873
MFON;D;20130109;000000;753.5;758;750.3;756.8;3320;2505215
MFON;D;20130110;000000;758;766.8;747.9;760;18010;13552093
MFON;D;20130111;000000;767.9;770.1;750.1;754.9;15020;11403145
MFON;D;20130114;000000;750.1;760;750;755.1;9160;6896729
MFON;D;20130115;000000;752.5;763;752.5;755.2;3750;2848547
MFON;D;20130116;000000;758.4;776;757.3;768.3;9250;7097207
MFON;D;20130117;000000;772.9;819.9;772;803;18630;14847097
MFON;D;20130118;000000;801.6;807;781;790;45450;36072279
MFON;D;20130121;000000;791.9;799.8;787;798;5080;4036011
MFON;D;20130122;000000;794.2;799.3;790.7;792.4;6050;4806525
MFON;D;20130123;000000;797.4;815;797.4;810;33500;26940683
MFON;D;20130124;000000;800.9;827.8;799.8;822.3;7890;6444368
MFON;D;20130125;000000;822.5;854.9;813.5;818;24400;20089322
MFON;D;20130128;000000;818;824;813;813.2;6600;5389923
MFON;D;20130129;000000;801.1;813.2;801.1;805.1;4050;3269951
MFON;D;20130130;000000;807.1;812.4;801.2;806.2;6350;5120250
MFON;D;20130131;000000;803.3;818;794.1;811.8;7260;5853114
MFON;D;20130201;000000;811.8;849.9;805.9;830;20930;17370331
MFON;D;20130204;000000;838.5;851;825.3;847;51640;43699226
MFON;D;20130205;000000;845.1;852.4;840;845;20000;16893536
MFON;D;20130206;000000;850.7;850.7;845;850;7770;6581786
MFON;D;20130207;000000;840;847.5;830.3;847.5;8120;6804970
MFON;D;20130208;000000;849.8;862;838.8;846.3;12810;10838017
MFON;D;20130211;000000;846.3;853.1;838.9;848.4;4970;4215936
