<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
MGNT;D;20160104;000000;11230;11398;10949;11366;93153;1045857480
MGNT;D;20160105;000000;11240;11385;11203;11350;118924;1345387778
MGNT;D;20160106;000000;11350;11351;11150;11320;50905;572229054
MGNT;D;20160111;000000;11008;11079;10502;10667;166511;1786585449
MGNT;D;20160112;000000;10600;10600;10291;10367;193926;2019917392
MGNT;D;20160113;000000;10400;10515;10323;10352;131279;1366947521
MGNT;D;20160114;000000;10339;10339;10021;10230;185013;1882883450
MGNT;D;20160115;000000;10228;10228;9555;9640;285166;2788479330
MGNT;D;20160118;000000;9582;9940;9251;9940;162238;1576550513
MGNT;D;20160119;000000;10040;10530;9990;10427;176576;1819650705
MGNT;D;20160120;000000;10271;10427;10105;10350;252743;2600093450
MGNT;D;20160121;000000;10410;10971;10381;10850;271973;2907583190
MGNT;D;20160122;000000;11070;11100;10729;11050;258112;2840865434
MGNT;D;20160125;000000;11113;11113;10861;11042;140550;1541675384
MGNT;D;20160126;000000;10958;11080;10911;10975;140342;1545028998
MGNT;D;20160127;000000;11023;11285;10982;11285;120360;1340889582
MGNT;D;20160128;000000;11250;11662;11250;11485;187015;2149401352
MGNT;D;20160129;000000;11501;11720;11400;11500;173033;2008115716
MGNT;D;20160201;000000;11542;11674;11258;11270;104971;1202191755
MGNT;D;20160202;000000;11230;11470;11094;11150;159196;1793554057
MGNT;D;20160203;000000;11085;11200;10928;10955;95403;1053716328
MGNT;D;20160204;000000;11110;11299;10805;10889;122376;1349540242
MGNT;D;20160205;000000;10890;11000;10673;10765;123948;1341679943
MGNT;D;20160208;000000;10831;10854;10363;10450;154135;1625876341
MGNT;D;20160209;000000;10412;10485;10000;10103;255416;2613227288
MGNT;D;20160210;000000;10031;10220;10005;10070;175949;1777148492
MGNT;D;20160211;000000;10090;10198;9710;10143;258560;2566102569
MGNT;D;20160212;000000;10203;10290;9977;10000;213450;2152056884
MGNT;D;20160215;000000;10175;10175;9840;9920;170643;1698625351
MGNT;D;20160216;000000;10015;10058;9865;9900;131917;1311793343
MGNT;D;20160217;000000;9903;10052;9732;10000;248700;2468258483
MGNT;D;20160218;000000;10050;10362;10005;10318;263102;2689922064
MGNT;D;20160219;000000;10264;10415;10200;10354;168654;1740593881
MGNT;D;20160220;000000;10357;10408;10310;10345;27569;285760637
MGNT;D;20160222;000000;10379;10718;10320;10655;132089;1398772299
MGNT;D;20160224;000000;10555;10675;10356;10475;177306;1863533547
MGNT;D;20160225;000000;10511;10659;10350;10530;159166;1676409753
MGNT;D;20160226;000000;10615;10799;10526;10589;169925;1810507850
MGNT;D;20160229;000000;10501;10680;10430;10648;138729;1467589321
MGNT;D;20160301;000000;10680;10780;10525;10592;115369;1227317505
MGNT;D;20160302;000000;10670;10740;10601;10695;104645;1118160366
MGNT;D;20160303;000000;10700;10808;10631;10715;135717;1456603660
MGNT;D;20160304;000000;10736;10799;10640;10668;81977;875154927
MGNT;D;20160307;000000;10700;10758;10662;10715;60503;648410823
MGNT;D;20160309;000000;10680;10755;10541;10700;154843;1648686244
MGNT;D;20160310;000000;10749;10975;10730;10900;248710;2711257037
MGNT;D;20160311;000000;10920;10945;10824;10900;106715;1161540954
MGNT;D;20160314;000000;10900;10950;10750;10780;131401;1424450041
MGNT;D;20160315;000000;10839;10920;10805;10880;278874;3033587149
MGNT;D;20160316;000000;10900;10923;10750;10788;108711;1177672377
MGNT;D;20160317;000000;10855;10990;10803;10900;214660;2341494794
MGNT;D;20160318;000000;10895;11400;10881;11400;202215;2250415106
MGNT;D;20160321;000000;11388;11388;11190;11255;185121;2088287956
MGNT;D;20160322;000000;11212;11310;11142;11209;153172;1716468025
MGNT;D;20160323;000000;11235;11298;10992;11100;100877;1122568651
MGNT;D;20160324;000000;11002;11085;10925;11041;150522;1653994954
MGNT;D;20160325;000000;11051;11118;10849;10880;41387;452966014
MGNT;D;20160328;000000;10906;10928;10635;10655;83411;896772787
MGNT;D;20160329;000000;10655;10714;10560;10575;113609;1206030100
MGNT;D;20160330;000000;10665;10671;10408;10410;166664;1745670531
MGNT;D;20160331;000000;10400;10697;10306;10550;237828;2503292176
MGNT;D;20160401;000000;10519;10700;10329;10470;234532;2478944985
MGNT;D;20160404;000000;10537;10614;10422;10470;153418;1617336774
MGNT;D;20160405;000000;10407;10521;10366;10400;136715;1426183550
MGNT;D;20160406;000000;10430;10499;10355;10390;110320;1148000349
MGNT;D;20160407;000000;10450;10473;10314;10332;142359;1478343015
MGNT;D;20160408;000000;10335;10420;10318;10320;99706;1032283978
MGNT;D;20160411;000000;10321;10360;10056;10254;196847;2026509866
MGNT;D;20160412;000000;10320;10320;10129;10129;202951;2070016896
MGNT;D;20160413;000000;10186;10612;10167;10490;292849;3040943364
MGNT;D;20160414;000000;10488;10575;10212;10240;197670;2052422260
MGNT;D;20160415;000000;10257;10300;10132;10132;115925;1182538731
MGNT;D;20160418;000000;10149;10243;10012;10125;134705;1362903431
MGNT;D;20160419;000000;10160;10225;10073;10075;129229;1310692088
MGNT;D;20160420;000000;10098;10169;10052;10115;118554;1198414136
MGNT;D;20160421;000000;10170;10250;10102;10162;181345;1846149712
MGNT;D;20160422;000000;10207;10295;10152;10295;169934;1739541990
MGNT;D;20160425;000000;10303;10310;9535;9540;569356;5543372499
MGNT;D;20160426;000000;9508;9632;9126;9180;458523;4256455186
MGNT;D;20160427;000000;9210;9210;8778;8825;352325;3152398999
MGNT;D;20160428;000000;8869;9140;8684;9040;372959;3370756256
MGNT;D;20160429;000000;9070;9085;8888;9002;224612;2021366033
MGNT;D;20160504;000000;8900;9192;8805;9006;229459;2064517806
