<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
MSTT;D;20101103;000000;264;264;191.9;203;48479;9886838.7
MSTT;D;20101108;000000;205;205;196.43;200.3;28607;5758412.93
MSTT;D;20101109;000000;199.99;200.2;197;198;39792;7929029.07
MSTT;D;20101110;000000;196;198.2;192.01;197.01;20500;4020192.3
MSTT;D;20101111;000000;195;198.34;195;195;5551;1088463
MSTT;D;20101112;000000;194.48;198.34;194.48;196.71;1886;371500.73
MSTT;D;20101113;000000;192.7;198.35;180;196.7;9814;1851944.33
MSTT;D;20101115;000000;198.34;203;196;200.39;35506;7066577.96
MSTT;D;20101116;000000;200.5;200.5;198.5;199;7805;1553073.84
MSTT;D;20101117;000000;200.3;203;200.3;200.75;7889;1590490.46
MSTT;D;20101118;000000;200.51;221;200.1;200.5;54822;11076726.8
MSTT;D;20101119;000000;202.5;204.99;198.52;201;10677;2141718.85
MSTT;D;20101122;000000;202.51;208;200;203;11601;2350586.99
MSTT;D;20101123;000000;204;204.89;196.11;204;11915;2417528.28
MSTT;D;20101124;000000;204;204.56;202.06;203.35;7045;1434195.9
MSTT;D;20101125;000000;204;204;200.54;202.3;1020;206544.51
MSTT;D;20101126;000000;204.57;204.65;202;203;5816;1181810.26
MSTT;D;20101129;000000;204;206.49;203.1;204;14564;2980561.72
MSTT;D;20101130;000000;203;206.9;202.5;204.12;469;95487.14
MSTT;D;20101201;000000;206.62;218.49;204.1;212.95;9791;2056300.63
MSTT;D;20101202;000000;208.77;227;208.75;226;32777;7235081.87
MSTT;D;20101203;000000;230.5;265;230.5;239.99;265655;64777635.83
MSTT;D;20101206;000000;240;250;230;234;13425;3172817.81
MSTT;D;20101207;000000;233.23;238.77;230;235;24371;5686395.15
MSTT;D;20101208;000000;234.95;234.95;228.03;232;2186;505875
MSTT;D;20101209;000000;238.77;239;230.05;234.09;13527;3180656.57
MSTT;D;20101210;000000;232.3;240;230;233.99;38648;9038970.16
MSTT;D;20101213;000000;233;234.99;227.99;227.99;19388;4475532.26
MSTT;D;20101214;000000;227.99;230.01;223.01;225;2637;598319.67
MSTT;D;20101215;000000;228;229.99;225.1;226.89;8802;1998300.01
MSTT;D;20101216;000000;226.89;232;226;231.19;10907;2490121.54
MSTT;D;20101217;000000;233;233;226.99;231.04;3168;723715.17
MSTT;D;20101220;000000;234.09;258.54;231;234.49;62467;14812099.74
MSTT;D;20101221;000000;235.4;246.8;235.19;237.24;104651;24982394.56
MSTT;D;20101222;000000;239.8;243.8;237.01;243.39;40330;9674651.15
MSTT;D;20101223;000000;243.38;254;241.02;247.95;38063;9419207.03
MSTT;D;20101224;000000;247.99;247.99;243.97;247.99;16378;4033543.42
MSTT;D;20101227;000000;248.25;248.25;240.01;243;32668;7916075.27
MSTT;D;20101228;000000;245.99;245.99;238.1;242;15831;3804861.41
MSTT;D;20101229;000000;250;251;238.11;249;35210;8676517.16
MSTT;D;20101230;000000;248.5;249.5;228;242.63;40845;9896541.3
MSTT;D;20110111;000000;242.64;247;239;246.5;50442;12315531.04
MSTT;D;20110112;000000;246.5;262.98;245;260;99084;24746131.55
MSTT;D;20110113;000000;276;287.99;261;273.5;116185;31857478.39
MSTT;D;20110114;000000;276;287;271.13;280;66598;18530294.84
MSTT;D;20110117;000000;286;286;272.18;276.1;48966;13528523.91
MSTT;D;20110118;000000;280.24;281;273.01;274.3;35537;9835845.21
MSTT;D;20110119;000000;282.5;282.5;273.9;278;43113;11975509.18
MSTT;D;20110120;000000;251.28;279.99;251.28;276.22;18176;4933142.89
MSTT;D;20110121;000000;278.88;280;274.5;276.99;30496;8403173.14
MSTT;D;20110124;000000;278;280.09;270.99;274.99;5950;1644384.34
MSTT;D;20110125;000000;278.64;280;269.05;269.11;16477;4490285.18
MSTT;D;20110126;000000;272.86;272.86;267.99;269;10210;2750724.33
MSTT;D;20110127;000000;267.63;270;264.04;264.04;7725;2054942.18
MSTT;D;20110128;000000;263.24;263.89;241;255;143208;35966426.87
MSTT;D;20110131;000000;250.02;258;247.46;253.98;15218;3865101.66
MSTT;D;20110201;000000;257;258.79;250;252.04;10891;2752838.43
MSTT;D;20110202;000000;254;254.44;252.35;253.91;4829;1225500.46
MSTT;D;20110203;000000;254.08;269.99;252.1;269.99;72734;18885023.24
MSTT;D;20110204;000000;270;280;265.12;273.87;62599;17250766.69
MSTT;D;20110207;000000;275.88;285.9;272;280;30503;8540476.14
MSTT;D;20110208;000000;280.49;280.5;269.52;274;21870;6011794.42
MSTT;D;20110209;000000;270.93;281;270;273.13;24071;6608429.42
MSTT;D;20110210;000000;273.13;273.64;261.24;266.1;8235;2216031.75
MSTT;D;20110211;000000;265.04;265.04;252.29;258.94;117561;30455287.63
MSTT;D;20110214;000000;256.99;258.97;251.06;252.5;33891;8654557
MSTT;D;20110215;000000;256;256;247.7;249.43;39180;9844327.29
MSTT;D;20110216;000000;250.1;251.85;245;248.96;42566;10566010.76
MSTT;D;20110217;000000;248.95;258.22;244.5;248.85;45421;11296722.65
MSTT;D;20110218;000000;250;253;240;247.84;28194;6944695.71
MSTT;D;20110221;000000;250.92;254;240;240.3;69104;16805953.78
MSTT;D;20110222;000000;242.78;244.5;237;238.49;97633;23342184.74
MSTT;D;20110224;000000;237.01;239.79;231;235;30076;7048257.8
MSTT;D;20110225;000000;235.5;243;231.07;233;85802;20031204.55
MSTT;D;20110228;000000;233;235;230.03;232.3;89592;20852562.23
MSTT;D;20110301;000000;234.87;234.88;228.31;231;12370;2864673.1
MSTT;D;20110302;000000;232.47;232.47;226.17;228;52190;11940600.4
MSTT;D;20110303;000000;228.1;228.2;221;223.75;61820;13841371.6
MSTT;D;20110304;000000;227.01;227.01;223.68;226;20570;4626542.5
MSTT;D;20110305;000000;227.97;232.56;223.54;229;36100;8178727.5
MSTT;D;20110309;000000;225.95;232.49;225.08;227.56;9930;2271190.8
MSTT;D;20110310;000000;225.75;230.26;225;225.9;24320;5488675.9
MSTT;D;20110311;000000;227;227.78;220.01;224.98;20930;4696393.5
MSTT;D;20110314;000000;225.75;232.99;224.9;227;11770;2690699.7
MSTT;D;20110315;000000;222;224.99;220.05;220.05;25120;5561001
MSTT;D;20110316;000000;223.03;224.96;217;219.58;19890;4365292.9
MSTT;D;20110317;000000;216.01;219.5;215;218;23460;5108339.1
MSTT;D;20110318;000000;219.5;220;215.04;215.37;3300;715858.3
MSTT;D;20110321;000000;215.3;219;214.77;217;16420;3564243
MSTT;D;20110322;000000;216.99;223.95;215.55;216.7;34050;7417692.7
MSTT;D;20110323;000000;216.6;222.9;216.6;220;18030;3952394.2
MSTT;D;20110324;000000;219.01;222.7;218.3;219.8;15170;3338530.5
MSTT;D;20110325;000000;222.89;225.15;219.5;224.9;66150;14720701.6
MSTT;D;20110328;000000;224.97;226.26;223.1;224.9;26110;5874216.7
MSTT;D;20110329;000000;223.02;226;223;223;60690;13593691.5
MSTT;D;20110330;000000;227.99;227.99;223.15;225;68330;15379553.7
MSTT;D;20110331;000000;227;227;222;223.2;20760;4679935.4
MSTT;D;20110401;000000;228.88;228.88;223;226.43;72150;16177440.1
MSTT;D;20110404;000000;227.77;227.77;219.48;220.03;75900;16870392.9
MSTT;D;20110405;000000;220.89;225.74;220.89;224;50430;11291686.6
MSTT;D;20110406;000000;225.89;228.79;224;228;21010;4762074.1
MSTT;D;20110407;000000;229.94;233;225.03;229.76;30870;7076311.8
MSTT;D;20110408;000000;231.99;234;225.69;234;60870;14041980
MSTT;D;20110411;000000;233.02;240.5;232;239.88;37390;8868176.2
MSTT;D;20110412;000000;237.05;239.8;230.62;235.24;103020;24280309.5
MSTT;D;20110413;000000;236;239.73;233;235.38;44200;10405035.7
MSTT;D;20110414;000000;230.29;232.37;225.1;228.49;26570;6076671.7
MSTT;D;20110415;000000;225.28;229.96;222.01;225.99;44120;9933603.6
MSTT;D;20110418;000000;229.85;229.85;207.67;210.44;39190;8623120.7
MSTT;D;20110419;000000;214;219;209.56;218.71;19140;4071129.1
MSTT;D;20110420;000000;219.99;220;215;218;23610;5139068
MSTT;D;20110421;000000;218.74;222.95;215.1;215.8;3980;863537.1
MSTT;D;20110422;000000;218.61;223.6;218.59;223.59;13870;3081094.7
MSTT;D;20110425;000000;204.75;229;204.75;222.77;25990;5797951.9
MSTT;D;20110426;000000;218.51;224.5;218.51;223.99;5430;1203113.4
MSTT;D;20110427;000000;223.99;223.99;218.1;218.1;26610;5845330.8
MSTT;D;20110428;000000;215.12;218;215;216.7;8410;1817572.7
MSTT;D;20110429;000000;216.32;218.33;216.01;216.75;2070;447281.5
MSTT;D;20110503;000000;216.01;219.13;216;217;20910;4537978.2
MSTT;D;20110504;000000;216.6;218.9;216;218.9;11880;2582520.7
MSTT;D;20110505;000000;217.61;220.95;217.61;218;3020;660826.3
MSTT;D;20110506;000000;218;226;218;218.01;8940;1971472.4
MSTT;D;20110510;000000;219.5;221.96;219;220.6;5770;1272334.6
MSTT;D;20110511;000000;221.35;222;218.58;219.56;4020;886660.1
MSTT;D;20110512;000000;218.99;225.98;217.25;217.51;6090;1340579.4
MSTT;D;20110513;000000;225.98;225.98;214.85;217.01;10040;2171750
MSTT;D;20110516;000000;217;218.36;217;218.36;200;43527.6
MSTT;D;20110517;000000;221;221.91;215.8;219.5;4310;944515.9
MSTT;D;20110518;000000;219.19;220;217.01;219.74;3680;805710.1
MSTT;D;20110519;000000;223.42;225;215;219;72320;15997479.2
MSTT;D;20110520;000000;217.11;219.19;215;216;24190;5233075
MSTT;D;20110523;000000;217.89;217.9;212.66;215;131720;28274954.8
MSTT;D;20110524;000000;217;224.99;215;221.55;38330;8411826.4
MSTT;D;20110525;000000;219.23;221.41;215.24;219.22;3410;743995.9
MSTT;D;20110526;000000;221.51;222.12;216.01;220;2270;497413.7
MSTT;D;20110527;000000;224.96;224.96;217.45;220.5;7850;1740579.8
MSTT;D;20110530;000000;223.63;223.63;221.01;221.01;1300;288621
MSTT;D;20110531;000000;223.62;243.99;223.01;240;169420;40045159
