<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
MTLR;D;20081226;000000;123.25;123.25;110;114;9;1046.9
MTLR;D;20081229;000000;114;114;110.6;110.6;6;672
MTLR;D;20081230;000000;112.7;112.7;112.7;112.7;351;39557.7
MTLR;D;20081231;000000;113.4;113.4;113.4;113.4;1;113.4
MTLR;D;20090111;000000;130;130;116;121;1877;235638.06
MTLR;D;20090112;000000;124.85;145;122.66;132.85;12504;1594187.18
MTLR;D;20090113;000000;128.88;140;120.02;121.45;34763;4291756.07
MTLR;D;20090114;000000;121.45;122;111.11;113;11532;1342554.62
MTLR;D;20090115;000000;112.9;118.49;105.03;106;12011;1334658.5
MTLR;D;20090116;000000;108.25;111.9;106;107.5;13325;1452939.73
MTLR;D;20090119;000000;108;108;97.5;99.6;6489;663045.05
MTLR;D;20090120;000000;95;100;90;92.5;22316;2107690.65
MTLR;D;20090121;000000;85.05;89.99;83;85;69797;5926880.34
MTLR;D;20090122;000000;94.88;94.88;76;80;84730;6995855.26
MTLR;D;20090123;000000;84.99;84.99;73;75;15911;1184885.01
MTLR;D;20090126;000000;77;88.5;76.7;87;247892;20786975.02
MTLR;D;20090127;000000;89.99;105;82;93;82223;7545729.61
MTLR;D;20090128;000000;93.5;93.5;88.11;91.51;10706;970235.14
MTLR;D;20090129;000000;94.79;99.95;92;92;6901;647319.22
MTLR;D;20090130;000000;92;97.47;90.01;95.13;13007;1226996.67
MTLR;D;20090202;000000;99.29;103.99;96;101.89;27533;2752166.83
MTLR;D;20090203;000000;102.9;111.99;100.02;111.9;63973;6763323.59
MTLR;D;20090204;000000;113;125;112;124;74388;8811294.58
MTLR;D;20090205;000000;124.25;149.99;124.25;130;292125;38566588.52
MTLR;D;20090206;000000;138.45;148.49;129.02;147;56380;7947495.88
MTLR;D;20090209;000000;149.21;205.86;149.21;173.99;231330;39890236.81
MTLR;D;20090210;000000;180;217;175.47;188.8;253318;50531090
MTLR;D;20090211;000000;181.02;183.5;168.8;175.1;115028;20370847.89
MTLR;D;20090212;000000;175.05;175.1;150;154.15;63691;10211835.85
MTLR;D;20090213;000000;163;163.3;155;159;45449;7167854.54
MTLR;D;20090216;000000;157.13;159.79;149.5;156;18777;2901006.4
MTLR;D;20090217;000000;158.6;158.79;131;143.69;32462;4828844.29
MTLR;D;20090218;000000;145;147;130.1;139;26270;3658338.55
MTLR;D;20090219;000000;145.7;147;135.02;142;22858;3271797.56
MTLR;D;20090220;000000;142.5;160;126.62;134;82777;11577972.24
MTLR;D;20090224;000000;128.1;139.87;123.01;134.9;17410;2255688.9
MTLR;D;20090225;000000;149.23;156;139.9;142;110906;16552749.21
MTLR;D;20090226;000000;155.5;159;135.2;150;295294;45129094.34
MTLR;D;20090227;000000;139.8;146;131.02;134.97;304060;41748939.13
MTLR;D;20090302;000000;131.27;133.99;125;130.46;59018;7659720.44
MTLR;D;20090303;000000;127.75;140.35;126.5;128;115676;14895254.68
MTLR;D;20090304;000000;134.25;140;130;131.99;251256;33753338.1
MTLR;D;20090305;000000;137.99;137.99;128.5;128.51;100658;13178603.25
MTLR;D;20090306;000000;128.26;129.9;125.13;126;98215;12524799.52
MTLR;D;20090310;000000;128.5;134.5;126.1;132.8;294403;38252647.87
MTLR;D;20090311;000000;133.47;135.99;126.8;128.44;165833;21496833.36
MTLR;D;20090312;000000;128.2;128.97;120;121.12;141898;17456068.44
MTLR;D;20090313;000000;123.34;128.8;122;126;209897;26463219.99
MTLR;D;20090316;000000;128.5;133.5;126;133;118418;15456224.21
MTLR;D;20090317;000000;135.55;135.55;124.99;129;233945;30236098.64
MTLR;D;20090318;000000;130.06;131;124.8;126.5;93384;11935757.5
MTLR;D;20090319;000000;133.15;138.5;130;134.13;419279;56271741.26
MTLR;D;20090320;000000;135.25;145;135.11;142;259237;36231669.48
MTLR;D;20090323;000000;144.5;163;140.02;160.41;304911;45814530.36
MTLR;D;20090324;000000;157.35;165;144.05;147;471222;70414797.06
MTLR;D;20090325;000000;147;157.3;140.1;154;240800;35626783.65
MTLR;D;20090326;000000;156.05;159.9;148.5;157.99;232613;35938162.25
MTLR;D;20090327;000000;157.55;159.99;146.01;151;205380;31666727.88
