<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
NKNC;D;20080407;000000;28.29;28.29;28.29;28.29;1900;53751
NKNC;D;20080408;000000;28.29;28.29;28.29;28.29;4300;121647
NKNC;D;20080409;000000;28.28;28.28;25.2;28;2900;75875
NKNC;D;20080410;000000;28.2;28.29;28.2;28.29;8100;228940
NKNC;D;20080411;000000;28.29;28.29;28.29;28.29;800;22632
NKNC;D;20080414;000000;28.25;28.25;28.25;28.25;1000;28250
NKNC;D;20080417;000000;25.2;27.775;24.51;27.775;1400;35855
NKNC;D;20080418;000000;25.4;26;25.4;25.41;1100;28241
NKNC;D;20080421;000000;26;26.3;25.4;25.4;41100;1068631.2
NKNC;D;20080422;000000;25.3;25.5;25.3;25.3;54900;1389265
NKNC;D;20080423;000000;25;25;24.5;25;5300;131422
NKNC;D;20080424;000000;26;26;24.15;24.15;20600;507781
NKNC;D;20080425;000000;24;24.95;24;24.91;36600;897956
NKNC;D;20080428;000000;25.15;25.15;24.5;24.5;2100;52231.6
NKNC;D;20080429;000000;24.55;24.55;24.5;24.5;34700;851050
NKNC;D;20080430;000000;26;26;26;26;100;2600
NKNC;D;20080504;000000;24.4;25;24.4;24.5;9200;224788
NKNC;D;20080505;000000;24.001;24.3;24;24.3;1100;26430.5
NKNC;D;20080506;000000;24;24;24;24;300;7200
NKNC;D;20080507;000000;24.75;25;24.75;25;55100;1370240
NKNC;D;20080512;000000;24.5;25.5;24.3;24.7;754600;18482271
NKNC;D;20080513;000000;24.25;26.5;24.25;24.5;18600;459617.6
NKNC;D;20080514;000000;24.3;24.3;24;24;13600;329122
NKNC;D;20080515;000000;24.301;24.301;23.576;23.9;6100;146199.4
NKNC;D;20080516;000000;23.003;24;22.004;24;2800;65024.9
NKNC;D;20080519;000000;23.4;23.5;22.331;23.5;1300;29643.1
NKNC;D;20080521;000000;23.85;23.9;23.6;23.6;1500;35495
NKNC;D;20080522;000000;23.59;23.59;23.51;23.51;400;9412
NKNC;D;20080523;000000;22.522;22.677;22.5;22.677;1100;24772.9
NKNC;D;20080527;000000;22.101;22.101;22.1;22.1;2100;46410.5
NKNC;D;20080528;000000;22.2;22.2;22;22;3300;72736.2
NKNC;D;20080529;000000;22;22.5;22;22.5;5000;112447.5
NKNC;D;20080530;000000;22.103;22.3;22.102;22.104;1400;31004.2
NKNC;D;20080602;000000;23;23;22.5;22.5;700;15900
NKNC;D;20080603;000000;22.37;22.37;21.022;22;11300;248050.3
NKNC;D;20080606;000000;21.7;21.7;21.7;21.7;3000;65100
NKNC;D;20080607;000000;22.221;22.222;21.01;21.01;800;17463.7
NKNC;D;20080609;000000;22.32;22.32;22.32;22.32;100;2232
NKNC;D;20080616;000000;22.39;22.4;20.01;21.5;9300;203692
NKNC;D;20080617;000000;22;22;22;22;500;11000
NKNC;D;20080618;000000;21.003;21.7;21;21.7;1300;27511
NKNC;D;20080619;000000;21.7;21.7;21.7;21.7;200;4340
NKNC;D;20080620;000000;21.7;21.9;21.7;21.9;3500;76350
NKNC;D;20080623;000000;21.6;22.25;21.6;21.8;11900;262775
NKNC;D;20080624;000000;21.5;21.5;21.5;21.5;4000;86000
NKNC;D;20080625;000000;21;21;21;21;1200;25200
NKNC;D;20080626;000000;21.5;21.5;21.5;21.5;800;17200
NKNC;D;20080630;000000;21.25;21.25;21.25;21.25;1300;27625
NKNC;D;20080701;000000;19.5;20;19.5;20;1300;25450
NKNC;D;20080702;000000;20;20;20;20;1900;38000
NKNC;D;20080703;000000;19.5;19.5;19.5;19.5;2100;40950
NKNC;D;20080707;000000;18.5;18.5;18.5;18.5;100;1850
NKNC;D;20080710;000000;18;18;18;18;1800;32400
NKNC;D;20080714;000000;18.541;18.541;16;17;2400;40904.2
NKNC;D;20080715;000000;17.5;17.5;16.85;16.85;8900;152715
NKNC;D;20080716;000000;17.5;17.5;17.5;17.5;1000;17500
NKNC;D;20080721;000000;17.999;17.999;17.999;17.999;100;1799.9
NKNC;D;20080723;000000;18;18;18;18;400;7200
NKNC;D;20080725;000000;18;18;18;18;200;3600
NKNC;D;20080728;000000;17;17;17;17;1500;25500
NKNC;D;20080730;000000;15.017;16;14.5;15.5;14800;217770.7
NKNC;D;20080731;000000;16.75;18.497;16.75;17.5;9400;159199.9
NKNC;D;20080801;000000;22.571;22.571;22.571;22.571;100;2257.1
NKNC;D;20080804;000000;21.999;21.999;21.999;21.999;400;8799.6
NKNC;D;20080805;000000;17;17.5;17;17.5;26900;461850
NKNC;D;20080807;000000;18;18;18;18;200;3600
NKNC;D;20080808;000000;16;17;16;17;4100;65700
NKNC;D;20080811;000000;17;17;17;17;100;1700
NKNC;D;20080813;000000;17;17;17;17;600;10200
NKNC;D;20080814;000000;17;17;17;17;300;5100
NKNC;D;20080818;000000;16;16;16;16;1000;16000
NKNC;D;20080819;000000;17;17;17;17;1000;17000
NKNC;D;20080820;000000;17.04;17.04;16.5;16.5;35500;586940
NKNC;D;20080821;000000;16.5;16.99;16.5;16.5;55100;909199
NKNC;D;20080822;000000;16.5;16.5;16.5;16.5;1700;28050
NKNC;D;20080825;000000;16.998;17;16.5;16.5;140100;2326299
NKNC;D;20080828;000000;15.005;16;15.005;16;1800;28241
NKNC;D;20080829;000000;16;16;16;16;200;3200
NKNC;D;20080901;000000;16.5;16.5;16.5;16.5;10000;165000
