<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
NMTP;D;20071108;000000;7.2;7.399;6;7.15;281500;1975829.5
NMTP;D;20071109;000000;7.15;8.87;6.9;7.107;268500;1969065.9
NMTP;D;20071112;000000;7.5;7.5;6.6;7;455500;3174597.5
NMTP;D;20071113;000000;7;7;6.85;6.85;24400;168775.1
NMTP;D;20071114;000000;7.199;7.199;6.75;6.761;28100;192363.2
NMTP;D;20071115;000000;6.89;6.89;6.76;6.761;7200;49087.4
NMTP;D;20071116;000000;6.71;7;6.71;6.801;27500;187750.5
NMTP;D;20071119;000000;6.8;6.8;6.7;6.7;15000;101566
NMTP;D;20071120;000000;6.7;6.7;6.352;6.42;41500;272707.8
NMTP;D;20071121;000000;6.45;6.459;6.27;6.27;68000;430064.2
NMTP;D;20071122;000000;6.299;7.099;6.14;6.14;83700;534546.7
NMTP;D;20071123;000000;6.2;6.2;6;6.1;37200;224970.4
NMTP;D;20071126;000000;6.1;8;6.06;6.1;209800;1381075.4
NMTP;D;20071127;000000;6.1;6.34;6.1;6.2;30800;190982.4
NMTP;D;20071128;000000;6.11;6.49;6.11;6.49;68200;433634.4
NMTP;D;20071129;000000;6.499;6.5;6;6;40800;253975.7
NMTP;D;20071130;000000;6.2;6.8;6.022;6.7;103300;665155.8
NMTP;D;20071203;000000;6.201;6.69;6.201;6.69;143300;932411.7
NMTP;D;20071204;000000;6.7;6.7;6.5;6.501;63200;411120.1
NMTP;D;20071205;000000;6.999;7;6.56;6.6;249900;1649936.3
NMTP;D;20071206;000000;6.55;6.647;6.312;6.54;55700;363121.1
NMTP;D;20071207;000000;6.502;6.61;6.5;6.5;919100;6027038.8
NMTP;D;20071210;000000;6.699;6.699;6.4;6.552;47900;308445.3
NMTP;D;20071211;000000;6.42;6.55;6.42;6.508;3600;23378.6
NMTP;D;20071212;000000;6.55;6.55;6.49;6.523;270600;1761134.1
