<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
PGIL;D;20141226;000000;156;214;151.4;157;30370;4680625.5
PGIL;D;20141229;000000;160;161.5;157;158;36720;5820775
PGIL;D;20141230;000000;158;174.95;157.5;168;60710;9705560
PGIL;D;20150105;000000;165.5;190;164.1;190;710;123858.5
PGIL;D;20150106;000000;171;180;165;178;109260;18844669.5
PGIL;D;20150108;000000;189.5;189.5;176.5;178.4;28190;4999919
PGIL;D;20150109;000000;177;178;177;178;1190;210675
PGIL;D;20150112;000000;175.1;180;175;180;45460;8027779
PGIL;D;20150113;000000;179;188;179;187.5;67890;12286119.5
PGIL;D;20150114;000000;187.45;187.45;182;185;68130;12534596.5
PGIL;D;20150115;000000;182.5;187;182.5;185.05;44280;8194308.5
PGIL;D;20150116;000000;188.5;200;188.5;200;53450;10229640
PGIL;D;20150119;000000;195.7;197.5;190;192.05;52450;10261189
PGIL;D;20150120;000000;195;199;195;197;48320;9475330
PGIL;D;20150121;000000;198.2;209;191;191;33010;6556446
PGIL;D;20150122;000000;198;198.7;197;198.6;35210;6969505
PGIL;D;20150123;000000;197.7;199.5;196;198;51250;10168961
PGIL;D;20150126;000000;198;199.7;198;198;35810;7133745
PGIL;D;20150127;000000;202;204.7;202;202.7;35300;7176329.5
PGIL;D;20150128;000000;200;205;200;205;29370;5989348.5
PGIL;D;20150129;000000;205.8;230;190;207.5;40140;8314952.5
PGIL;D;20150130;000000;210;230;200;212.9;30250;6266350.5
PGIL;D;20150202;000000;206;210;204.8;210;45150;9333990
PGIL;D;20150203;000000;201;208.95;195;208.95;36810;7457026.5
PGIL;D;20150204;000000;202;202;194.55;199;67010;13271978
PGIL;D;20150205;000000;200;209.5;194.1;194.1;43400;8839720
PGIL;D;20150206;000000;198.95;204;197;202.5;61740;12442792.5
PGIL;D;20150209;000000;202.5;202.5;200;200.2;39490;7921755.5
PGIL;D;20150210;000000;195;195;193.95;194.45;37680;7331615.5
PGIL;D;20150211;000000;195.5;200.95;192.5;193.1;32600;6363434
PGIL;D;20150212;000000;195;200;191.8;199.85;70170;13647621
PGIL;D;20150213;000000;194.75;203;193.2;195.75;99900;19919552
PGIL;D;20150216;000000;210;210;193.95;195.65;45350;8894366.5
PGIL;D;20150217;000000;195.75;196.8;192;194;28690;5600993.5
