<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
PHST;D;20070827;000000;1400;1400;1400;1400;2;2800
PHST;D;20070828;000000;1400;1400;1400;1400;1;1400
PHST;D;20070829;000000;1400;1400;1400;1400;5000;7000000
PHST;D;20070904;000000;1450;1450;1450;1450;34;49300
PHST;D;20070918;000000;1425;1450;1425;1450;105;152125
PHST;D;20070926;000000;1480.01;1480.01;1480;1480;5;7400.01
PHST;D;20071003;000000;1700;1700;1700;1700;23;39100
PHST;D;20071015;000000;1650;1650;1650;1650;4;6600
PHST;D;20071017;000000;1650;1650;1650;1650;2;3300
PHST;D;20071019;000000;1650;1650;1650;1650;100;165000
PHST;D;20071022;000000;1645;1645;1645;1645;100;164500
PHST;D;20071023;000000;1630;1630;1630;1630;3;4890
PHST;D;20071101;000000;1641;1641;1641;1641;100;164100
PHST;D;20071112;000000;1600;1600;1590;1595;205;326965
PHST;D;20071113;000000;1592;1592;1592;1592;5;7960
PHST;D;20071115;000000;1580;1580;1580;1580;1;1580
PHST;D;20071116;000000;1570;1570;1570;1570;5;7850
PHST;D;20071119;000000;1565;1565;1545;1545;11;17015
PHST;D;20071120;000000;1541;1541;1510;1510;101;152541
PHST;D;20071121;000000;1500;1500;1490;1490;101;151490
PHST;D;20071126;000000;1450;1450;1450;1450;1;1450
PHST;D;20071128;000000;1450;1450;1450;1450;31;44950
PHST;D;20071130;000000;1450;1468;1450;1468;300;437800
PHST;D;20071203;000000;1490;1490;1490;1490;200;298000
PHST;D;20071204;000000;1540;1540;1540;1540;25;38500
PHST;D;20071205;000000;1540;1640;1540;1630;800;1267500
PHST;D;20071206;000000;1705;1705;1700;1700;20;34060
PHST;D;20071213;000000;1730;1750;1700;1750;231;397170
PHST;D;20071214;000000;1750;1750;1700;1750;74;129250
PHST;D;20071217;000000;1700;1700;1700;1700;101;171700
PHST;D;20071218;000000;1700;1700;1700;1700;9;15300
PHST;D;20071220;000000;1700;1700;1700;1700;30;51000
PHST;D;20071221;000000;1700;1735;1700;1735;331;562910
PHST;D;20071224;000000;1740;1745;1740;1745;200;348500
PHST;D;20071225;000000;1745;1760;1745;1760;332;580870
