<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOLUME>;<AMOUNT>
PLZL;D;20250103;000000;1405;1414;1401;1409.5;659120;
PLZL;D;20250106;000000;1410;1411.8;1398.8;1407;272400;
PLZL;D;20250108;000000;1409.3;1443;1407.05;1441;1034830;
PLZL;D;20250109;000000;1443.65;1457;1431.55;1453.3;1305200;
PLZL;D;20250110;000000;1457.5;1493;1455.05;1488.6;1508230;
PLZL;D;20250113;000000;1493.5;1508.55;1470.6;1490.3;1356090;
PLZL;D;20250114;000000;1491.4;1499.65;1480.4;1491.4;856070;
PLZL;D;20250115;000000;1493;1509;1487;1508.4;832410;
PLZL;D;20250116;000000;1509.65;1523.5;1505.45;1520.75;915640;
PLZL;D;20250117;000000;1520.9;1529.5;1505.55;1516.35;865870;
PLZL;D;20250120;000000;1521.8;1529.9;1485.6;1497.1;1241740;
PLZL;D;20250121;000000;1502.8;1583.55;1498;1580;3064420;
PLZL;D;20250122;000000;1579.95;1610;1565.05;1601;3296390;
PLZL;D;20250123;000000;1598.45;1647;1595.05;1646.55;3387540;
PLZL;D;20250124;000000;1650.55;1709.8;1650.5;1708;3826740;
PLZL;D;20250127;000000;1710.85;1743.8;1658;1690.2;4951910;
PLZL;D;20250128;000000;1691;1725;1665.2;1720.55;2337400;
PLZL;D;20250129;000000;1720;1725;1685;1701.7;1523040;
PLZL;D;20250130;000000;1704;1732.4;1696.5;1725;1513570;
PLZL;D;20250131;000000;1727.5;1737;1705.85;1717;1600480;
PLZL;D;20250203;000000;1712.85;1747.7;1655.2;1735.95;2695530;
PLZL;D;20250204;000000;1735;1777.1;1735;1767.8;2758210;
PLZL;D;20250205;000000;1770.5;1799.5;1770;1784.65;2799350;
PLZL;D;20250206;000000;1788;1797.7;1761.2;1772.95;1542130;
PLZL;D;20250207;000000;1775;1788;1752.55;1783;1254910;
PLZL;D;20250210;000000;1787.5;1806.6;1786.2;1797.35;1342820;
PLZL;D;20250211;000000;1797.75;1818;1786.25;1817.05;1626090;
PLZL;D;20250212;000000;1817.05;1900;1812;1888.25;2840790;
PLZL;D;20250213;000000;1891.5;1985.35;1891;1931.9;3962140;
PLZL;D;20250214;000000;1926.7;1969.5;1852.5;1870.95;3015350;
PLZL;D;20250217;000000;1882.2;1898;1805.5;1850;2652780;
PLZL;D;20250218;000000;1849.5;1883;1816.5;1871.7;2299310;
PLZL;D;20250219;000000;1876;1906.05;1871.4;1897.35;1794370;
PLZL;D;20250220;000000;1902;1933;1884.25;1900.9;1629470;
PLZL;D;20250221;000000;1901.1;1902.95;1860;1884.9;1145990;
PLZL;D;20250224;000000;1889.8;1895.95;1864.2;1871.7;1070930;
PLZL;D;20250225;000000;1867;1966.2;1860;1952.1;3206720;
PLZL;D;20250226;000000;1952.05;1980;1932.5;1956.25;1783330;
PLZL;D;20250227;000000;1956.2;1962.55;1902.3;1916.8;1968840;
PLZL;D;20250228;000000;1914;1935.3;1890;1931.3;1876570;
PLZL;D;20250301;000000;1931.3;1946.7;1931.3;1938.85;50890;
PLZL;D;20250302;000000;1938.8;1950;1934.85;1939.5;48010;
PLZL;D;20250303;000000;1938.8;1944.75;1888.5;1915.9;1728530;
PLZL;D;20250304;000000;1918.75;1980;1909.2;1970.25;2456050;
PLZL;D;20250305;000000;1974.8;1984.65;1941.2;1953.15;2333050;
PLZL;D;20250306;000000;1955.45;1987.5;1942.85;1955;1535310;
