<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
POGR;D;20200625;000000;26.3;34.1;26.155;28.49;14278000;399770598.5
POGR;D;20200626;000000;28.995;29.9;26.885;27.4;8378500;235362468
POGR;D;20200629;000000;27.455;28.48;27.15;27.49;19998900;553145215
POGR;D;20200630;000000;27.9;27.995;22.9;22.96;75699300;1862794520.5
POGR;D;20200702;000000;23.505;24.6;23.33;23.695;14672900;350524211.5
POGR;D;20200703;000000;23.695;23.85;23.415;23.5;5324700;125356850
POGR;D;20200706;000000;23.53;23.785;22.77;22.8;11641800;269769128.5
POGR;D;20200707;000000;22.81;23.515;22.81;23;6898900;159771340.5
POGR;D;20200708;000000;23.46;23.495;22.68;23.29;8606300;198125703
POGR;D;20200709;000000;23.3;24.1;22.905;24.1;8598500;201917665.5
POGR;D;20200710;000000;24.24;26.035;24.1;25.66;20191100;509337709.5
POGR;D;20200713;000000;26.105;27.19;26.01;26.88;15329500;409642325.5
POGR;D;20200714;000000;26.98;26.98;25.715;26.25;8745200;228410630.5
POGR;D;20200715;000000;26.255;26.8;26;26.5;7913000;209743058
POGR;D;20200716;000000;26.5;26.63;25.985;26.07;8521700;223751462
POGR;D;20200717;000000;26.135;26.66;25.81;26.15;9388700;245668382
POGR;D;20200720;000000;26.295;26.85;26.01;26.82;5126400;136174147
POGR;D;20200721;000000;26.93;27.25;26.615;26.76;7720700;208670412.5
POGR;D;20200722;000000;26.955;29.22;26.75;29.22;20070300;560239257
POGR;D;20200723;000000;29.68;36;29.52;36;84375500;2788712490
POGR;D;20200724;000000;37.2;40;34.765;38;117325500;4347080351
POGR;D;20200727;000000;39.4;39.9;37;37;57421100;2229010808.5
POGR;D;20200728;000000;37;39.105;35.025;39;42660800;1576299520
POGR;D;20200729;000000;38.745;40.4;38;40.11;32125600;1261197424.5
POGR;D;20200730;000000;40.14;41.175;38.735;38.805;21287700;853328665
POGR;D;20200731;000000;39.995;40.495;37.755;38.7;14331200;557083866.5
POGR;D;20200803;000000;39;39.5;37;37.28;9707300;368594445.5
POGR;D;20200804;000000;37.285;37.89;35;36.585;18007300;647569493.5
POGR;D;20200805;000000;37.8;38.695;35.92;35.92;22509500;829180717.5
POGR;D;20200806;000000;35.92;36.2;34.04;34.65;17424700;612076627
POGR;D;20200807;000000;34.65;35;33.505;34.265;13492000;458955599.5
POGR;D;20200810;000000;34.5;35.31;30.6;32.805;39889900;1312701017.5
POGR;D;20200811;000000;32.6;32.79;29.75;30.205;36913800;1140237374.5
POGR;D;20200812;000000;29.85;32;29;31.7;48340700;1492971720
POGR;D;20200813;000000;32;32;31.005;31.285;19948400;624604809
POGR;D;20200814;000000;31.11;31.31;30.375;31;13412000;415635322.5
POGR;D;20200817;000000;31.2;33.55;31.005;33.54;51384000;1667917368.5
POGR;D;20200818;000000;34.205;34.72;32.505;32.9;31101000;1044096632
POGR;D;20200819;000000;32.51;33.045;32.055;32.155;20061500;650037306.5
POGR;D;20200820;000000;32;32.2;31.5;32.19;12402500;394574062
POGR;D;20200821;000000;32.22;32.4;30.215;31.1;17501000;543793336.5
POGR;D;20200824;000000;31.205;32.66;30.4;31.285;32688100;1030378124
POGR;D;20200825;000000;31.495;32.4;31.185;31.91;12908500;408716755.5
POGR;D;20200826;000000;32.2;34.575;31.9;34.18;32063700;1069513986
POGR;D;20200827;000000;34.25;35.205;33.71;34;26510000;910883778
POGR;D;20200828;000000;34.2;37;34.05;36.95;41390000;1473654872
POGR;D;20200831;000000;37.055;37.98;35.695;36.255;22939100;847270914
