<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
POLY;D;20070301;000000;213.5;255.3;203.5;255;6091;1420214.12
POLY;D;20070302;000000;275;380;230.2;237.7;19591;5294549.1
POLY;D;20070305;000000;253;253;184.99;198.44;23733;4943705.34
POLY;D;20070306;000000;205.99;213.48;183;198.98;43202;8466469.02
POLY;D;20070307;000000;203;207;190;193;26190;5174602.77
POLY;D;20070309;000000;199.49;203;197;200.38;16479;3293118.86
POLY;D;20070312;000000;200.38;204.9;197.02;200.26;8263;1670012.3
POLY;D;20070313;000000;200;200;191.07;196.5;4599;903245.72
POLY;D;20070314;000000;190;195;181;191.5;5068;961581.42
POLY;D;20070315;000000;195.88;201.5;193.01;194;6293;1238134.89
POLY;D;20070316;000000;194.99;201;194.98;197.8;3692;732744.35
POLY;D;20070319;000000;200;200;197;198;11993;2380374.56
POLY;D;20070320;000000;199.99;200.1;195.85;197.2;5107;1008360.79
POLY;D;20070321;000000;198.2;199;195.23;197.88;5616;1112011.1
POLY;D;20070322;000000;198.03;203.98;198.03;202.4;6872;1384315.22
POLY;D;20070323;000000;202.05;212;200;212;13220;2705837.6
POLY;D;20070326;000000;214;214;208.78;213;6868;1451460.4
POLY;D;20070327;000000;214;217;204.3;213.1;3650;776627.36
POLY;D;20070328;000000;216;216;211;213;7666;1633262.78
POLY;D;20070329;000000;214.97;215.4;211.11;215;10135;2165605.29
POLY;D;20070330;000000;215.2;216.25;212.9;213.05;8774;1883640.22
POLY;D;20070402;000000;215.5;217;213.1;214.99;8182;1758929.73
POLY;D;20070403;000000;214;215;212.55;212.55;3313;707570.25
POLY;D;20070404;000000;213;214.8;211;211.9;23266;4940647.57
POLY;D;20070405;000000;213.77;213.77;211.03;211.51;2466;524438.17
POLY;D;20070406;000000;213.7;213.7;211.6;212.07;3911;829983.5
POLY;D;20070409;000000;211.51;212.9;210.81;210.9;18773;3965393.18
POLY;D;20070410;000000;211.68;211.68;207;209.5;16825;3501947.98
POLY;D;20070411;000000;210.87;210.95;208.2;210.4;8520;1792397.64
POLY;D;20070412;000000;209.08;211.96;209.08;210.89;3553;745937
POLY;D;20070413;000000;208;210;207.4;209.98;8246;1719724.56
POLY;D;20070416;000000;208.5;209;208;208.5;4432;923671.14
POLY;D;20070417;000000;208.01;210.18;206;210.07;23458;4912407.44
POLY;D;20070418;000000;210;210.59;208.1;210;3129;651652.79
POLY;D;20070419;000000;207.07;207.07;202.61;206;10654;2185825
POLY;D;20070420;000000;206;207;200.45;200.45;26757;5421693.38
POLY;D;20070423;000000;203;203;198.1;199.9;10320;2063337.53
POLY;D;20070424;000000;200;200;196;197.45;6702;1319033.67
POLY;D;20070425;000000;197.45;199.75;193.94;195;13329;2613975.83
POLY;D;20070426;000000;195;199.98;194.03;194.05;9846;1943076.05
POLY;D;20070427;000000;194.07;195.5;192.03;192.99;2973;575624.45
POLY;D;20070428;000000;195.97;199.9;193;199.9;2679;523818.16
POLY;D;20070502;000000;195.5;196.5;193.8;193.86;6263;1220109.31
POLY;D;20070503;000000;194;195;192;193.95;11057;2129851.7
POLY;D;20070504;000000;192.1;194.5;191.03;193.9;3676;710411.7
POLY;D;20070507;000000;194.8;196.92;194.4;195.02;2845;555699.31
POLY;D;20070508;000000;193.14;196;191;194.89;2681;516540.21
POLY;D;20070510;000000;194.9;194.9;190;190;15343;2943687.31
POLY;D;20070511;000000;190;193.9;185.26;190.5;12939;2433820.27
POLY;D;20070514;000000;186.77;194.9;186.01;190;1663;316262.07
POLY;D;20070515;000000;190.5;190.5;188.9;190;931;176414.77
POLY;D;20070516;000000;196.2;197;185.07;189.99;18826;3557907.27
POLY;D;20070517;000000;189.5;190;186.2;188;7475;1407184.88
POLY;D;20070518;000000;188;188.75;185;185.22;17755;3299666.59
POLY;D;20070521;000000;185.5;187;184.16;186.1;2708;505308.66
POLY;D;20070522;000000;185;185;183;184.48;3212;591417.81
POLY;D;20070523;000000;182.2;182.26;177;177.5;11859;2140596.18
POLY;D;20070524;000000;175.05;175.05;169.26;172.98;13166;2254991.94
POLY;D;20070525;000000;172;174.99;162.5;165;18284;3033789.79
POLY;D;20070528;000000;170;170;163.75;164.5;4445;739770.74
POLY;D;20070529;000000;164.28;167.89;162.5;162.5;1019;168673.27
POLY;D;20070530;000000;162;165.5;150;155;35072;5521307.66
POLY;D;20070531;000000;159.97;165;155.51;161;10933;1719172.07
POLY;D;20070601;000000;164.9;173;157.83;165;21777;3578883.45
POLY;D;20070604;000000;165;171;162.41;166.5;8506;1410602.28
POLY;D;20070605;000000;166.5;174.54;165.02;166.5;6168;1041213.41
POLY;D;20070606;000000;169.9;169.9;159;162.99;6530;1060834.32
POLY;D;20070607;000000;164;169.56;161.03;168.98;4817;797900.79
POLY;D;20070608;000000;164.2;169;162;164;8700;1428831.16
POLY;D;20070609;000000;164;165.65;162.5;164.63;5816;950931.49
POLY;D;20070613;000000;163;165;159.43;161;13024;2100066.14
POLY;D;20070614;000000;161;163;159.75;159.91;33413;5365667.74
POLY;D;20070615;000000;161.8;171.82;160;166;39984;6641940.51
POLY;D;20070618;000000;165.01;167.58;164;167.4;22037;3647277.52
POLY;D;20070619;000000;167;175.95;166.5;174.19;45483;7778628.71
