<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
QIWI;D;20131008;000000;1290;1340;1265.2;1340;630;822734.1
QIWI;D;20131009;000000;1200.1;1400;1200;1350;127;163781.7
QIWI;D;20131010;000000;1273;1330;1200.7;1310;49;61990
QIWI;D;20131011;000000;1300;1304.8;1300;1304.8;2;2604.8
QIWI;D;20131014;000000;1265;1310;1265;1310;4;5195
QIWI;D;20131015;000000;1336.9;1370;1336.9;1350;75;100591.9
QIWI;D;20131016;000000;1270;1304.4;1270;1304.4;51;66421.2
QIWI;D;20131018;000000;1350;1350;1350;1350;1;1350
QIWI;D;20131021;000000;1365;1365;1363.5;1363.5;2;2728.5
QIWI;D;20131024;000000;1363.5;1372;1363.5;1372;38;51929.3
QIWI;D;20131025;000000;1374;1920;1374;1920;7;10628
QIWI;D;20131028;000000;1900;1900;1350;1450;420;614512.2
QIWI;D;20131029;000000;1450;1450;1450;1450;3;4350
QIWI;D;20131030;000000;1234.2;1600;1234.2;1499.6;1150;1550593.8
QIWI;D;20131031;000000;1500;1500;1341.7;1400;1057;1473249.6
QIWI;D;20131101;000000;1468.5;1498;1353;1384.4;1206;1693826.9
QIWI;D;20131105;000000;1471.5;1471.5;1357.9;1450;1009;1409936.4
QIWI;D;20131106;000000;1470;1500;1422.8;1500;1423;2065499.9
QIWI;D;20131107;000000;1465;1470;1433;1455.9;1207;1749307.7
QIWI;D;20131108;000000;1454.5;1499.8;1354;1489.9;1033;1447729.4
QIWI;D;20131111;000000;1495;1495;1405.2;1435;1259;1878783.4
QIWI;D;20131112;000000;1460.9;1460.9;1409.8;1414.1;1200;1708380
QIWI;D;20131113;000000;1315;1381;1315;1367.7;1595;2158432.9
QIWI;D;20131114;000000;1349;1375;1349;1375;64;87969
QIWI;D;20131115;000000;1377;1377;1370;1377;208;286381
QIWI;D;20131118;000000;1340;1395.4;1340;1351;1011;1365135.4
QIWI;D;20131119;000000;1300;1400;1300;1400;1045;1359000
QIWI;D;20131120;000000;1400;1550;1400;1550;1113;1569148.9
QIWI;D;20131121;000000;1500;1551;1500;1550;1088;1643861
QIWI;D;20131122;000000;1551;1551;1500;1500;1125;1716570
QIWI;D;20131125;000000;1510;1530;1505;1505;1053;1588590
QIWI;D;20131126;000000;1510;1525;1510;1525;1021;1542069
QIWI;D;20131127;000000;1500;1676.7;1500;1581;1011;1517006.7
