<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
RNFT;D;20161125;000000;605;605;550.1;558;31394;17609488.2
RNFT;D;20161128;000000;550;559.8;547.1;551.9;31113;17132165.8
RNFT;D;20161129;000000;550;553.6;549.2;550.2;26708;14717258.6
RNFT;D;20161130;000000;550.7;556;550.4;556;36222;20051860.1
RNFT;D;20161201;000000;555.7;557.5;555;557.3;11613;6463479.3
RNFT;D;20161202;000000;556;558;551;558;40807;22589512.2
RNFT;D;20161205;000000;558;559.5;552;559.5;29074;16110349.9
RNFT;D;20161206;000000;558.6;559.5;553.6;555.1;11696;6508018.6
RNFT;D;20161207;000000;559.9;559.9;551;554.5;19093;10583390.3
RNFT;D;20161208;000000;553.7;556.2;550;552;28042;15496150.3
RNFT;D;20161209;000000;550.5;552.7;550.4;551;20905;11533128.8
RNFT;D;20161212;000000;552;554.5;551.9;553;18069;10005629.6
RNFT;D;20161213;000000;553.9;554.8;552.4;552.4;16810;9306344.2
RNFT;D;20161214;000000;554.6;555;554;555;33772;18730504.9
RNFT;D;20161215;000000;554.8;555.6;554.4;555;38211;21206743.1
RNFT;D;20161216;000000;556.2;557;554.9;555.2;32730;18189608.7
RNFT;D;20161219;000000;559.7;559.7;555.5;556.8;31808;17714032.9
RNFT;D;20161220;000000;557.7;559.7;556.7;559.7;38388;21408087.2
RNFT;D;20161221;000000;556;560.3;556;559.8;41957;23473252.4
RNFT;D;20161222;000000;555.1;560.3;555.1;559.9;41377;23160684.1
RNFT;D;20161223;000000;555;559.5;555;558.8;39713;22198935
RNFT;D;20161226;000000;557;559.8;557;559.4;37733;21099222.5
RNFT;D;20161227;000000;559.6;560.8;557.7;559.5;39964;22354595.7
RNFT;D;20161228;000000;559;560.8;559;559.6;28147;15751801.9
RNFT;D;20161229;000000;559.7;560;559.2;559.6;24045;13458600.1
RNFT;D;20161230;000000;558.8;559.6;558.2;558.6;24936;13939250.3
RNFT;D;20170103;000000;561;561;559;559.2;6557;3667682
RNFT;D;20170104;000000;559.5;560;559;559.9;18855;10545423.7
RNFT;D;20170105;000000;560;560;559.4;559.9;15488;8666637.2
RNFT;D;20170106;000000;559.5;559.7;559.1;559.1;16940;9476779.9
RNFT;D;20170109;000000;559.3;559.5;558.8;559.3;37448;20942801.2
RNFT;D;20170110;000000;559.3;559.9;558.5;559.3;36056;20164876.6
RNFT;D;20170111;000000;559.3;559.5;558.9;559.3;40027;22380367.6
RNFT;D;20170112;000000;559.8;559.8;559.3;559.6;44018;24628623
RNFT;D;20170113;000000;559.4;559.9;559.3;559.4;38190;21364075.2
RNFT;D;20170116;000000;559.3;559.6;559.2;559.4;45042;25195736.2
RNFT;D;20170117;000000;559.2;560;555.8;559.6;36113;20206278.8
RNFT;D;20170118;000000;559.3;559.6;559.3;559.3;37764;21127820.8
RNFT;D;20170119;000000;559.4;559.6;559.3;559.6;37207;20816779.9
RNFT;D;20170120;000000;559.3;559.7;559.3;559.5;36332;20326730.4
RNFT;D;20170123;000000;559.9;559.9;559.1;559.4;36099;20199896.3
RNFT;D;20170124;000000;559.1;560.1;559;559.5;36553;20455892.6
RNFT;D;20170125;000000;558.1;559.7;558.1;559.6;37412;20935213
RNFT;D;20170126;000000;555.5;560.1;555.5;560.1;37518;20991271.9
RNFT;D;20170127;000000;558.1;559.7;558.1;559.3;39328;21998593.6
RNFT;D;20170130;000000;558.7;559.8;558.7;559.3;39305;21990996.7
RNFT;D;20170131;000000;558.1;559.7;558.1;559.3;28747;16082697.8
RNFT;D;20170201;000000;558.3;559.5;558.3;559.4;41299;23099765.1
RNFT;D;20170202;000000;559.3;560;559.3;559.4;36662;20521664.2
RNFT;D;20170203;000000;559.2;559.7;559.2;559.6;36374;20354986.5
RNFT;D;20170206;000000;559.4;559.9;559.4;559.5;40743;22800939.8
RNFT;D;20170207;000000;559.5;559.6;559.4;559.4;38371;21471052.2
RNFT;D;20170208;000000;559.1;560.2;559.1;559.9;36136;20231486.3
RNFT;D;20170209;000000;559.3;560.1;559.3;560;37943;21246415.6
RNFT;D;20170210;000000;559.2;560.1;559.2;559.9;36934;20683691.5
RNFT;D;20170213;000000;559.9;560;559.8;560;41458;23212768.4
RNFT;D;20170214;000000;559.3;563.2;559.3;562.4;44341;24846687.3
RNFT;D;20170215;000000;562.5;562.5;540;561.7;27632;15519100.7
RNFT;D;20170216;000000;562.7;562.7;559.4;560;40692;22798026.8
RNFT;D;20170217;000000;559.7;560.5;559.7;560;33587;18808160.7
RNFT;D;20170220;000000;559.5;560.4;558.9;559.2;33827;18928541.6
RNFT;D;20170221;000000;559;560.2;559;560;37061;20750897.9
RNFT;D;20170222;000000;562.2;562.2;559.8;560.2;37950;21260287.5
RNFT;D;20170224;000000;560.3;560.9;559.7;559.7;10992;6159515.8
RNFT;D;20170227;000000;560.3;560.4;559.7;559.8;32742;18339075.7
RNFT;D;20170228;000000;559.6;560.5;559.6;559.9;34140;19123399.8
RNFT;D;20170301;000000;561;562.3;560.9;561.2;38964;21874129
RNFT;D;20170302;000000;560.8;561.7;560.8;561;34572;19406405.2
RNFT;D;20170303;000000;560.9;560.9;560.2;560.3;34551;19362299
RNFT;D;20170306;000000;560.2;560.9;560.2;560.6;34348;19258596.3
RNFT;D;20170307;000000;561.4;561.5;558;559.7;33351;18674126.2
RNFT;D;20170309;000000;559.1;560.2;558.7;559;51064;28585025.9
RNFT;D;20170310;000000;558.7;559.9;558.6;559.2;45144;25259272.6
RNFT;D;20170313;000000;558.5;559.6;558.5;559.4;40307;22543656.8
RNFT;D;20170314;000000;558.6;559.6;558.6;559.3;48051;26862257.7
RNFT;D;20170315;000000;559;559.4;558.6;558.9;75933;42442403.4
RNFT;D;20170316;000000;559.9;559.9;558.1;558.2;54170;30254438.1
RNFT;D;20170317;000000;558.2;558.8;557.8;558.8;42013;23457715.2
RNFT;D;20170320;000000;558.1;558.6;557.9;558.2;38065;21253230.2
RNFT;D;20170321;000000;558;558.4;557.5;557.6;38797;21654808.2
RNFT;D;20170322;000000;557.7;558.2;557.4;557.4;37350;20836921.9
RNFT;D;20170323;000000;558;558.3;557.2;557.2;34150;19044301.9
RNFT;D;20170324;000000;558.6;560.2;557.7;558.6;35018;19588312.6
RNFT;D;20170327;000000;560.1;560.7;558.7;560.7;36641;20516347.7
RNFT;D;20170328;000000;560;562.5;560;562.1;35860;20134807.7
RNFT;D;20170329;000000;561.2;561.2;559.8;559.8;34324;19231646.8
RNFT;D;20170330;000000;560;562.8;559;562;35972;20215316.5
RNFT;D;20170331;000000;560.1;561.9;560.1;560.8;36320;20381732.2
RNFT;D;20170403;000000;560.2;562.4;560.1;561.8;36040;20242111.9
RNFT;D;20170404;000000;560.3;562.4;560.2;562.1;36158;20321361.8
RNFT;D;20170405;000000;562;562.7;560;560.8;37309;20946544.4
RNFT;D;20170406;000000;561.8;561.9;561;561;37415;21003483.4
RNFT;D;20170407;000000;560.4;561.9;560.1;561.6;34422;19316402.1
RNFT;D;20170410;000000;561.8;561.8;560.3;561.1;40863;22934818.3
RNFT;D;20170411;000000;560.7;561.8;559.8;559.8;38818;21782412
RNFT;D;20170412;000000;559.8;562.8;559.6;559.6;37939;21277512.3
RNFT;D;20170413;000000;560.2;562.1;559.4;560.9;38739;21728106.9
RNFT;D;20170414;000000;560.2;561.4;560;560;36183;20288199.2
RNFT;D;20170417;000000;562.8;562.8;560;560.2;36058;20210919
RNFT;D;20170418;000000;559.4;562.8;559.4;560.3;39234;21984312.3
RNFT;D;20170419;000000;559.5;562.4;559.5;560.7;40843;22904632.9
RNFT;D;20170420;000000;562.8;574;561.6;561.6;45954;25974712.6
RNFT;D;20170421;000000;562.1;565.1;562.1;563.5;27963;15750457.9
RNFT;D;20170424;000000;564.4;565;563.7;564.2;32747;18481247.2
RNFT;D;20170425;000000;563.7;565;563.6;564.7;48334;27272600.3
RNFT;D;20170426;000000;564.6;569.9;564.6;568.5;48422;27495949.3
RNFT;D;20170427;000000;565.7;579.7;565.7;579.7;36037;20817668.2
RNFT;D;20170428;000000;583.1;588.6;583;587.9;82812;48676652
RNFT;D;20170502;000000;589.2;589.9;587.1;587.2;44499;26169752.1
RNFT;D;20170503;000000;590;590;584.4;584.6;34296;20107453.2
RNFT;D;20170504;000000;584.6;588.4;584.6;587.8;38384;22498014.6
RNFT;D;20170505;000000;584.5;588.9;584.5;585.8;39146;22916746.5
RNFT;D;20170510;000000;589.7;589.7;583.8;583.8;33446;19605070.7
RNFT;D;20170511;000000;584.2;585.8;584.1;584.4;32765;19167953.9
RNFT;D;20170512;000000;584.1;585.7;584.1;585.3;63101;36911545.3
RNFT;D;20170515;000000;589.2;589.2;584.1;585.2;34400;20140064.9
RNFT;D;20170516;000000;584.2;585.3;584.1;584.9;33213;19419563.8
RNFT;D;20170517;000000;585;587;583.9;583.9;45714;26704316.2
RNFT;D;20170518;000000;585.4;585.5;583.5;584.6;32729;19135720.6
RNFT;D;20170519;000000;584.2;588.4;583.7;585;33565;19636550.5
RNFT;D;20170522;000000;585.1;587;583.5;584.9;37045;21665921.1
RNFT;D;20170523;000000;584.6;585.5;574.9;574.9;35116;20536895.4
RNFT;D;20170524;000000;583;591.2;583;586.5;35469;20872563.1
RNFT;D;20170525;000000;589.4;589.8;586.4;586.8;29875;17566597.1
RNFT;D;20170526;000000;587;589.2;586.1;586.3;29243;17154307.7
RNFT;D;20170529;000000;586;589.5;585.5;588.3;31738;18651942.2
RNFT;D;20170530;000000;586.1;587.9;585.7;587.1;34375;20175343.9
RNFT;D;20170531;000000;585.7;592;585.7;592;42049;24810985.1
RNFT;D;20170601;000000;621.3;621.3;572.3;599.9;84639;50405081
RNFT;D;20170602;000000;587;604.5;587;600;36374;21625712.4
RNFT;D;20170605;000000;599.1;609.8;597.5;609.8;48893;29396510.1
RNFT;D;20170606;000000;609.8;609.8;596.7;604.4;49777;29871065.4
RNFT;D;20170607;000000;604.9;607.2;596.2;600;65646;39384324
RNFT;D;20170608;000000;597.8;601.2;593;601.2;68310;40952063.4
RNFT;D;20170609;000000;601;603;600.4;601.3;60273;36231901.6
RNFT;D;20170613;000000;600;604.5;594.9;601.1;108058;64797562.5
RNFT;D;20170614;000000;600.3;602.1;595.9;600.7;280385;167541852.7
RNFT;D;20170615;000000;601;603.1;595.5;598;434251;259847163.2
RNFT;D;20170616;000000;595;603.4;576.4;576.4;470544;278109431.6
RNFT;D;20170619;000000;582;595.2;552.8;592.3;119140;69275227.4
RNFT;D;20170620;000000;615;615;593.1;594.7;40765;24259186.5
RNFT;D;20170621;000000;614.9;614.9;594.7;596.7;32524;19373197.3
RNFT;D;20170622;000000;595.4;597.4;595;596.9;31745;18932221.9
RNFT;D;20170623;000000;596;602;596;602;178176;107034495.6
RNFT;D;20170626;000000;601.4;601.4;600;601;34265;20579747.7
RNFT;D;20170627;000000;601;601.2;599.5;599.7;30276;18185904.8
RNFT;D;20170628;000000;599.7;604;597.6;602;153007;91766445.4
RNFT;D;20170629;000000;600.7;601.2;600.5;600.8;37174;22333723.6
RNFT;D;20170630;000000;601.5;601.5;600.6;601;26065;15666059.2
RNFT;D;20170703;000000;600.4;602.9;600.3;601.1;35333;21249952.6
RNFT;D;20170704;000000;600.7;601.8;600.7;601.1;26699;16047460.3
RNFT;D;20170705;000000;600.9;601.1;600.5;600.5;34158;20524724.4
RNFT;D;20170706;000000;601.1;601.2;600.6;600.8;32290;19399566.2
RNFT;D;20170707;000000;600.6;600.8;600.4;600.4;36860;22135397.1
RNFT;D;20170710;000000;600.3;601.2;600.3;600.5;33565;20164303.8
RNFT;D;20170711;000000;600.7;601;600.2;601;35785;21489149.3
RNFT;D;20170712;000000;602.5;602.5;599.9;600.3;38555;23149729.1
RNFT;D;20170713;000000;603;605;600.1;603.4;54565;32853729.3
RNFT;D;20170714;000000;604.9;604.9;603.4;603.4;37597;22705582.1
RNFT;D;20170717;000000;602.9;604.9;602.9;604.9;39376;23775081.5
RNFT;D;20170718;000000;603.4;606.1;603.4;606.1;31949;19327239.8
RNFT;D;20170719;000000;600;606.7;600;605;34568;20925985.6
