<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
RSTI;D;20130426;000000;1.181;1.181;1.115;1.146;392477000;448887781
RSTI;D;20130429;000000;1.141;1.163;1.12;1.146;221462000;252747415
RSTI;D;20130430;000000;1.156;1.347;1.133;1.347;672416000;830925996
RSTI;D;20130502;000000;1.303;1.47;1.291;1.415;638954000;896106504
RSTI;D;20130503;000000;1.428;1.494;1.366;1.433;567191000;806537360
RSTI;D;20130506;000000;1.42;1.455;1.393;1.403;250136000;354993050
RSTI;D;20130507;000000;1.403;1.416;1.353;1.365;267341000;368491991
RSTI;D;20130508;000000;1.365;1.372;1.319;1.325;165113000;221462834
RSTI;D;20130510;000000;1.325;1.368;1.277;1.299;218304000;290221489
RSTI;D;20130513;000000;1.286;1.333;1.25;1.3;324810000;422302576
RSTI;D;20130514;000000;1.306;1.4;1.302;1.398;479212000;655548779
RSTI;D;20130515;000000;1.409;1.458;1.351;1.354;552171000;777158586
RSTI;D;20130516;000000;1.34;1.364;1.204;1.232;1133832000;1427459741
RSTI;D;20130517;000000;1.232;1.325;1.213;1.319;818097000;1046306334
RSTI;D;20130520;000000;1.332;1.375;1.291;1.325;492343000;658594257
RSTI;D;20130521;000000;1.311;1.368;1.293;1.356;396137000;526966682
RSTI;D;20130522;000000;1.359;1.435;1.353;1.413;636017000;886352556
RSTI;D;20130523;000000;1.37;1.395;1.331;1.354;568348000;773471703
RSTI;D;20130524;000000;1.363;1.393;1.317;1.349;381407000;516366991
RSTI;D;20130527;000000;1.366;1.373;1.337;1.338;131573000;177723746
RSTI;D;20130528;000000;1.342;1.384;1.342;1.373;295794000;403783946
RSTI;D;20130529;000000;1.369;1.37;1.286;1.3;469829000;621321112
RSTI;D;20130530;000000;1.299;1.313;1.249;1.26;511636000;652234147
RSTI;D;20130531;000000;1.264;1.288;1.111;1.137;950000000;1142130721
RSTI;D;20130603;000000;1.113;1.19;1.113;1.134;653666000;752734218
RSTI;D;20130604;000000;1.15;1.172;1.125;1.135;469620000;539713050
RSTI;D;20130605;000000;1.123;1.13;1.073;1.087;486683000;532958390
RSTI;D;20130606;000000;1.068;1.117;1.05;1.066;531166000;577096310
RSTI;D;20130607;000000;1.086;1.135;1.07;1.105;482869000;530549831
RSTI;D;20130610;000000;1.121;1.126;1.067;1.09;312308000;342301144
RSTI;D;20130611;000000;1.08;1.095;1.034;1.041;434285000;458863182
RSTI;D;20130613;000000;1.03;1.057;0.984;1.053;398909000;405736728
RSTI;D;20130614;000000;1.073;1.079;1.041;1.051;246526000;261136261
RSTI;D;20130617;000000;1.059;1.083;1.052;1.063;278114000;297158756
RSTI;D;20130618;000000;1.063;1.087;1.057;1.067;175236000;188028116
RSTI;D;20130619;000000;1.079;1.079;1.048;1.062;169837000;180008988
RSTI;D;20130620;000000;1.038;1.048;1.02;1.028;178741000;184936489
RSTI;D;20130621;000000;1.018;1.065;1.013;1.049;227148000;238470397
RSTI;D;20130624;000000;1.034;1.077;1.034;1.052;163136000;173018823
RSTI;D;20130625;000000;1.056;1.114;1.052;1.096;434311000;475465706
RSTI;D;20130626;000000;1.096;1.129;1.091;1.103;276447000;306595393
RSTI;D;20130627;000000;1.111;1.123;1.082;1.107;314972000;345630760
RSTI;D;20130628;000000;1.112;1.118;1.057;1.09;297607000;321578987
RSTI;D;20130701;000000;1.089;1.106;1.07;1.1;147260000;160861227
RSTI;D;20130702;000000;1.084;1.113;1.084;1.102;164905000;181307283
RSTI;D;20130703;000000;1.095;1.1;1.074;1.093;170792000;185523133
RSTI;D;20130704;000000;1.107;1.11;1.092;1.11;157614000;173472293
RSTI;D;20130705;000000;1.113;1.16;1.107;1.113;341647000;385952495
RSTI;D;20130708;000000;1.116;1.129;1.086;1.104;260869000;289142597
RSTI;D;20130709;000000;1.112;1.115;1.076;1.083;160478000;175892234
RSTI;D;20130710;000000;1.08;1.087;1.062;1.067;224275000;240438588
RSTI;D;20130711;000000;1.08;1.096;1.068;1.087;260943000;282408405
RSTI;D;20130712;000000;1.095;1.109;1.082;1.097;293767000;323051563
