<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
RSTIP;D;20130426;000000;0.901;0.95;0.901;0.9372;5433000;5069586.7
RSTIP;D;20130429;000000;0.99;0.99;0.9399;0.9599;2741000;2638808.2
RSTIP;D;20130430;000000;0.968;0.9895;0.9405;0.971;9863000;9471622.7
RSTIP;D;20130502;000000;0.97;1.0377;0.9641;1.0003;8307000;8314580.8
RSTIP;D;20130503;000000;1.0299;1.0299;0.9734;1.0012;7367000;7379502.8
RSTIP;D;20130506;000000;1.03;1.037;0.989;0.9999;2312000;2314869.5
RSTIP;D;20130507;000000;0.9948;1.0043;0.99;1;1286000;1280049.6
RSTIP;D;20130508;000000;1;1.015;0.98;0.992;1397000;1387193.7
RSTIP;D;20130510;000000;1.0099;1.0099;0.976;0.993;2926000;2899439
RSTIP;D;20130513;000000;0.9929;1;0.98;0.9944;1249000;1241669
RSTIP;D;20130514;000000;0.9821;1.039;0.9821;1;7966000;7971600.5
RSTIP;D;20130515;000000;1.01;1.3;0.9905;1;9276000;9844929.7
RSTIP;D;20130516;000000;0.9999;1;0.9401;0.95;7319000;7073249.9
RSTIP;D;20130517;000000;0.95;0.98;0.9491;0.9654;6743000;6443848.8
RSTIP;D;20130520;000000;0.9878;0.9878;0.9675;0.9799;2694000;2632430.1
RSTIP;D;20130521;000000;0.9889;1.015;0.975;1.005;7464000;7421827.8
RSTIP;D;20130522;000000;1.0181;1.0267;0.9987;1.0239;8784000;8851989.5
RSTIP;D;20130523;000000;1.0075;1.0444;0.9898;1.018;8060000;8179011.5
RSTIP;D;20130524;000000;0.9775;0.9775;0.925;0.9599;9443000;8974850.5
RSTIP;D;20130527;000000;0.962;0.9659;0.9257;0.947;809000;765080.8
RSTIP;D;20130528;000000;0.9508;0.954;0.9161;0.9449;2660000;2491557.5
RSTIP;D;20130529;000000;0.943;0.943;0.9101;0.917;2840000;2613152.2
RSTIP;D;20130530;000000;0.9055;0.928;0.905;0.923;3599000;3313253.7
RSTIP;D;20130531;000000;0.924;0.9289;0.9053;0.9058;943000;861762.5
RSTIP;D;20130603;000000;0.9;0.9029;0.8858;0.9;2283000;2052710.1
RSTIP;D;20130604;000000;1.0105;1.0105;0.899;0.899;1006000;908370.7
RSTIP;D;20130605;000000;0.9;0.9;0.853;0.8743;1368000;1191880.1
RSTIP;D;20130606;000000;0.8603;0.8603;0.8223;0.8288;3870000;3246354.7
RSTIP;D;20130607;000000;0.8398;0.847;0.8311;0.8354;1619000;1360904.2
RSTIP;D;20130610;000000;0.8498;0.9;0.83;0.8361;5231000;4420873.8
RSTIP;D;20130611;000000;0.8389;0.84;0.8128;0.84;522000;433467.5
RSTIP;D;20130613;000000;0.8203;0.8349;0.8017;0.8349;536000;440645.1
RSTIP;D;20130614;000000;0.8343;0.8439;0.8308;0.837;353000;294905.5
RSTIP;D;20130617;000000;0.8446;0.869;0.8446;0.85;242000;207024.7
RSTIP;D;20130618;000000;0.8402;0.857;0.8401;0.853;159000;135032
RSTIP;D;20130619;000000;0.854;0.854;0.84;0.8479;399000;338766.7
RSTIP;D;20130620;000000;0.825;0.8409;0.825;0.8397;679000;570140
RSTIP;D;20130621;000000;0.8316;0.8481;0.82;0.8319;3119000;2587769.7
RSTIP;D;20130624;000000;0.82;0.8476;0.8181;0.83;440000;366395.6
RSTIP;D;20130625;000000;0.85;0.85;0.8287;0.8494;409000;347116
RSTIP;D;20130626;000000;0.859;0.8777;0.8487;0.8487;358000;309309.5
RSTIP;D;20130627;000000;0.9517;0.9517;0.85;0.8612;339000;294720.3
RSTIP;D;20130628;000000;0.88;0.8805;0.8169;0.856;1012000;861582.7
RSTIP;D;20130701;000000;0.85;0.8695;0.8412;0.851;565000;484678.8
RSTIP;D;20130702;000000;0.8515;0.8693;0.8515;0.8536;246000;211086.9
RSTIP;D;20130703;000000;0.8412;0.87;0.8412;0.8523;3185000;2727957.3
RSTIP;D;20130704;000000;0.9868;0.9868;0.8451;0.8631;547000;473880.6
RSTIP;D;20130705;000000;0.8605;0.8995;0.8324;0.87;4115000;3564030.7
RSTIP;D;20130708;000000;0.9885;0.9885;0.8561;0.87;1897000;1685842.5
RSTIP;D;20130709;000000;0.8799;0.8799;0.86;0.865;725000;627149.2
RSTIP;D;20130710;000000;0.8507;0.869;0.8507;0.869;120000;103114.9
RSTIP;D;20130711;000000;0.8869;0.8869;0.8614;0.8681;2014000;1744910.6
RSTIP;D;20130712;000000;0.87;0.8832;0.865;0.873;424000;368358.2
RSTIP;D;20130715;000000;0.88;0.9151;0.8663;0.8846;1136000;1003015.3
RSTIP;D;20130716;000000;0.889;0.889;0.8705;0.8788;899000;788663.5
RSTIP;D;20130717;000000;0.8899;0.9298;0.8708;0.8985;12593000;11320488.9
RSTIP;D;20130718;000000;0.8898;0.9089;0.8831;0.9;5203000;4670596.8
RSTIP;D;20130719;000000;0.8999;0.905;0.88;0.9039;8342000;7505777
RSTIP;D;20130722;000000;0.9001;0.9086;0.8907;0.9022;547000;493361.6
RSTIP;D;20130723;000000;0.891;0.9148;0.8723;0.8991;2057000;1831853
RSTIP;D;20130724;000000;0.8951;0.8951;0.8748;0.8802;362000;319419
RSTIP;D;20130725;000000;0.8706;0.8879;0.8705;0.8705;460000;403897
RSTIP;D;20130726;000000;0.8729;0.8729;0.8607;0.868;415000;359030.8
RSTIP;D;20130729;000000;0.8699;0.8919;0.8675;0.8702;5774000;5116011
RSTIP;D;20130730;000000;0.8887;0.8948;0.8763;0.886;660000;586102.8
RSTIP;D;20130731;000000;0.8851;0.9;0.8851;0.888;1745000;1564357.7
RSTIP;D;20130801;000000;0.889;0.8989;0.87;0.8836;5050000;4401117.5
RSTIP;D;20130802;000000;0.8938;0.897;0.8699;0.8812;690000;607606
RSTIP;D;20130805;000000;0.8949;0.8999;0.8782;0.8998;352000;314961.4
RSTIP;D;20130806;000000;0.9;0.9;0.88;0.88;176000;155248
RSTIP;D;20130807;000000;0.88;0.889;0.862;0.8752;523000;455899.3
RSTIP;D;20130808;000000;0.8735;0.8894;0.8733;0.88;299000;261624.9
RSTIP;D;20130809;000000;0.88;0.9;0.87;0.8901;934000;832821.9
RSTIP;D;20130812;000000;0.8997;0.8997;0.8889;0.8965;51000;45725.8
RSTIP;D;20130813;000000;0.8952;0.9048;0.8903;0.8997;6457000;5810277.3
RSTIP;D;20130814;000000;0.9018;0.9044;0.897;0.901;1501000;1352613.2
RSTIP;D;20130815;000000;0.8976;0.9001;0.885;0.885;3467000;3108886.1
RSTIP;D;20130816;000000;0.8945;0.9;0.8859;0.891;662000;592523
RSTIP;D;20130819;000000;0.899;0.9;0.891;0.8999;1056000;948830.6
RSTIP;D;20130820;000000;0.89;0.8998;0.887;0.89;2121000;1892039.5
RSTIP;D;20130821;000000;0.89;0.8979;0.8852;0.8972;1347000;1198880.2
RSTIP;D;20130822;000000;0.895;0.9;0.8821;0.8996;1762000;1583783.6
RSTIP;D;20130823;000000;0.8953;0.902;0.8902;0.8952;38000;33990
RSTIP;D;20130826;000000;0.9015;0.9015;0.884;0.892;968000;865798
RSTIP;D;20130827;000000;0.8978;0.898;0.8842;0.8843;987000;882065.9
RSTIP;D;20130828;000000;0.884;0.8846;0.8631;0.87;2353000;2043571.3
RSTIP;D;20130829;000000;0.8727;0.8799;0.87;0.8795;986000;860896.4
RSTIP;D;20130830;000000;0.8795;0.8888;0.8559;0.8625;1505000;1300704.3
RSTIP;D;20130902;000000;0.8659;1.0488;0.8602;0.8727;1130000;989514.8
RSTIP;D;20130903;000000;0.8761;1;0.8761;0.8761;1265000;1119445.9
