<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
RTKM;D;20031001;000000;52.35;53.73;52.23;53.5;5607201;298529480.59
RTKM;D;20031002;000000;53.71;54.22;53.53;54.19;7390439;398266327.36
RTKM;D;20031003;000000;54.24;54.49;52.98;53.14;7372483;397714343.07
RTKM;D;20031006;000000;53.31;53.56;52.41;53.23;4500522;238401215.7
RTKM;D;20031007;000000;53.3;53.9;52.8;53.14;5176370;276377399.1
RTKM;D;20031008;000000;53.42;55.41;51.59;55.35;20310431;1089467533.71
RTKM;D;20031009;000000;55.55;57.64;55.23;56.48;26297553;1485834851.93
RTKM;D;20031010;000000;56.35;56.65;55.55;55.91;8050452;451603196.42
RTKM;D;20031013;000000;56;57.27;56;57.05;8273399;469916986.93
RTKM;D;20031014;000000;57.2;59.18;57.01;58.05;24112439;1404066719.75
RTKM;D;20031015;000000;58.13;58.88;57.47;58.6;14012359;814775789.4
RTKM;D;20031016;000000;58.62;61.3;58.62;61.29;21831995;1311961379.84
RTKM;D;20031017;000000;61.5;64.74;61.5;64.6;28181104;1784579900.76
RTKM;D;20031020;000000;64.49;67.59;64;64.55;22439645;1483266041.73
RTKM;D;20031021;000000;64.7;65.5;59.6;60.98;21162407;1320823997.36
RTKM;D;20031022;000000;60.1;61.2;58.58;58.92;15557259;929168675.89
RTKM;D;20031023;000000;58.6;60.75;58.3;60.16;11611783;693972931.37
RTKM;D;20031024;000000;60.2;61.79;60.2;61.75;10274845;628400389.94
RTKM;D;20031027;000000;56.5;57;51.41;55.1;30754252;1645518737.38
RTKM;D;20031028;000000;56;57.38;55.11;56.3;22599555;1277285395.27
RTKM;D;20031029;000000;56.45;56.97;54;55.75;16967597;939342060.32
RTKM;D;20031030;000000;55.69;55.8;50.21;50.51;15769891;845661374.25
RTKM;D;20031031;000000;52.23;54.7;52.23;54.44;12787258;683521327.8
RTKM;D;20031103;000000;55.6;60.4;55.6;60.2;11977603;685889093.38
RTKM;D;20031104;000000;60.5;60.83;58.7;59.4;11348278;676751443.92
RTKM;D;20031105;000000;59.5;59.8;58.06;58.6;7707057;453950467.53
RTKM;D;20031106;000000;58.81;59.4;57.81;58.9;7485951;437772037.61
RTKM;D;20031110;000000;59.33;60.66;58.91;60.63;9804973;585529422.35
RTKM;D;20031111;000000;60.5;60.62;58.41;59.19;9581300;568985723.4
RTKM;D;20031112;000000;59;59.3;55.3;56.55;12768987;723921504.91
RTKM;D;20031113;000000;57.55;58.4;56.71;57.2;8049072;463442934.38
RTKM;D;20031114;000000;57.2;57.47;56.7;56.9;3718542;212192750.6
RTKM;D;20031117;000000;56.7;56.7;54.72;54.75;5803176;321789696.86
RTKM;D;20031118;000000;54.7;55.25;52.51;52.71;8106295;435297478.2
RTKM;D;20031119;000000;52.7;53.4;51.21;52.34;11712198;612748684.69
RTKM;D;20031120;000000;53.28;54.79;52.6;54.77;10510094;564924550.79
RTKM;D;20031121;000000;54.76;55.33;54.3;54.62;9319230;511976521.62
RTKM;D;20031124;000000;55.05;55.73;54.28;55.32;6857132;377983461.38
RTKM;D;20031125;000000;55.58;56.69;54.75;56.2;5180675;287934631.19
RTKM;D;20031126;000000;56.3;58;55.8;57.32;11867420;676057156.96
RTKM;D;20031127;000000;57.5;57.89;56.65;57.71;4158376;238065954.02
RTKM;D;20031128;000000;57.75;58.37;55.3;56.78;9868430;562971514.96
RTKM;D;20031201;000000;57.38;57.38;55.74;57.15;3874283;219443294.82
RTKM;D;20031202;000000;57.5;59.72;57.4;59.59;12662217;745157052.38
RTKM;D;20031203;000000;59.72;60.69;59.05;60;9481477;569573832.84
RTKM;D;20031204;000000;59.99;60.45;58.85;59.06;4976379;296538473.01
RTKM;D;20031205;000000;58.7;59.17;57.99;58.35;6427647;376258858.52
RTKM;D;20031208;000000;58;59.5;57;59;6391302;376837819.98
