<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
SBERP;D;20020114;000000;24.5;24.55;24.31;24.48;113400;2770479
SBERP;D;20020115;000000;24.16;25.65;24.01;25.65;916100;22959414
SBERP;D;20020116;000000;25.44;26.85;25.08;25.8;1120500;29294127
SBERP;D;20020117;000000;26.3;27.35;26;27.15;400000;10676548
SBERP;D;20020118;000000;27.07;28.98;27.02;28.35;546000;15361333
SBERP;D;20020121;000000;28.7;28.79;27.62;27.98;210900;5937806
SBERP;D;20020122;000000;28.33;28.49;28.08;28.2;182400;5155371
SBERP;D;20020123;000000;28.27;28.29;27.66;27.98;301800;8453222
SBERP;D;20020124;000000;27.51;27.76;26.83;27.2;278500;7612229
SBERP;D;20020125;000000;27.45;27.45;25;25.5;205900;5345061
SBERP;D;20020128;000000;26.35;26.35;25.2;25.81;86700;2220528
SBERP;D;20020129;000000;26.35;27.68;26.2;27.59;181000;4926979
SBERP;D;20020130;000000;27.01;27.01;26.21;26.52;410300;10910985
SBERP;D;20020131;000000;26.99;27.17;26.93;27.12;89700;2423100
SBERP;D;20020201;000000;26.6;27.68;26.6;27.59;253500;6972396
SBERP;D;20020204;000000;27.21;27.77;27.2;27.45;252000;6936267
SBERP;D;20020205;000000;26;27.48;26;27.43;84600;2293640
SBERP;D;20020206;000000;27.5;28.29;27.11;27.94;66700;1857157
SBERP;D;20020207;000000;27.46;28.14;27.46;27.82;88000;2450267
SBERP;D;20020208;000000;27.8;28.28;27.8;27.87;208500;5850837
SBERP;D;20020211;000000;28;28.79;28;28.68;142100;4050772
SBERP;D;20020212;000000;28.99;29.9;28.96;29.5;215800;6376397
SBERP;D;20020213;000000;29.27;30.51;29.21;30.39;193100;5817457
SBERP;D;20020214;000000;30.16;31.49;30;30.84;227100;6976445
SBERP;D;20020215;000000;30.55;31.5;30;30.21;110200;3385112
