<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
SELG;D;20110930;000000;16.17;16.17;16.17;16.17;4000000;64680000
SELG;D;20111003;000000;16.2;16.2;16.2;16.2;4000000;64800000
SELG;D;20111018;000000;16.39;16.39;16.39;16.39;610000;9997900
SELG;D;20111021;000000;18.845;18.845;17.745;18;800;14408
SELG;D;20111024;000000;18;25.081;17.77;17.77;9100;189967
SELG;D;20111025;000000;15.5;25.346;15.5;18.505;122600;2965718.4
SELG;D;20111026;000000;20.799;23.994;16.15;20.898;74500;1472948.3
SELG;D;20111027;000000;21.499;26;18.8;19.3;64800;1324026.6
SELG;D;20111028;000000;19.99;20;18.181;18.376;13300;263521.8
SELG;D;20111031;000000;18.999;19.995;17.3;17.3;164600;2852456.2
SELG;D;20111101;000000;17.002;17.957;16.501;16.983;7200;121062.4
SELG;D;20111102;000000;21.298;21.298;15.51;15.85;6200;102307.7
SELG;D;20111103;000000;16;17.394;15;16;4600;73420.3
SELG;D;20111107;000000;19.5;19.5;15.75;16;2500;40150.4
SELG;D;20111108;000000;16;16.999;14.999;15.05;16900;260203.7
SELG;D;20111109;000000;15;15.2;14.21;14.5;4000;59401.8
SELG;D;20111110;000000;14.5;15.19;13.1;14.9;13900;197919.1
SELG;D;20111111;000000;13.545;15;13.545;15;4700;70063.4
SELG;D;20111114;000000;15;15.7;14.001;14.001;3200;47267.5
SELG;D;20111115;000000;13.727;14.7;13.63;13.63;1200;16493.7
SELG;D;20111116;000000;13.997;14.94;13.997;14.3;1400;19897.2
SELG;D;20111117;000000;15;15;15;15;100;1500
SELG;D;20111118;000000;14.999;14.999;13.43;14.89;2500;34374.8
SELG;D;20111121;000000;13.462;14.7;13.462;14.7;300;4266.1
SELG;D;20111122;000000;13.478;15;12;13.998;33500;443008.2
SELG;D;20111123;000000;13;15;12.998;14;127600;1778028.9
SELG;D;20111124;000000;14.448;16.45;13.4;14.5;654900;10667195.8
SELG;D;20111125;000000;13.556;16.48;13.501;14.301;644900;10549641.2
SELG;D;20111128;000000;13.801;16.435;13.801;15;649800;10601325.8
SELG;D;20111129;000000;15.986;16.46;15.54;16.28;976000;16038374.3
SELG;D;20111130;000000;16.43;16.43;14.801;15.4;332700;5428766.9
SELG;D;20111201;000000;15.499;15.5;13.999;14.749;31300;464365.6
SELG;D;20111202;000000;15.348;15.348;12.832;13.683;31100;425838.5
SELG;D;20111205;000000;12.778;13.945;12.131;13.199;5800;73779.7
SELG;D;20111206;000000;12.6;13.31;12.59;13.31;500;6440
SELG;D;20111207;000000;13.929;13.929;12.56;13.411;2400;31533.6
SELG;D;20111208;000000;12.277;13.403;12;12.499;14700;179621.4
SELG;D;20111209;000000;11.5;11.5;9.3;9.496;527600;5086487.5
SELG;D;20111212;000000;9.979;9.979;8.888;9.545;75300;683689.1
SELG;D;20111213;000000;9.47;11.499;9.15;11.44;465000;4538878.8
SELG;D;20111214;000000;11.5;12.501;10.3;11;85000;955365.4
SELG;D;20111215;000000;10.128;10.5;10;10.292;220500;2261531.8
SELG;D;20111216;000000;10.699;10.699;9.5;9.75;91400;881258.1
SELG;D;20111219;000000;10.175;12.67;9.411;12.65;291800;3003152.4
SELG;D;20111220;000000;11.103;15;10.55;14.9;145300;1840467.1
SELG;D;20111221;000000;12.9;14.43;12.5;13.95;26400;365928.4
SELG;D;20111222;000000;13.4;14.5;13.13;13.301;16400;228079
SELG;D;20111223;000000;13.999;14.98;11.996;12.261;94700;1235539.3
SELG;D;20111226;000000;13.699;13.99;12.401;13.01;5600;72772.8
SELG;D;20111227;000000;13.01;14.2;13.01;14.2;71500;983413
SELG;D;20111228;000000;14;14;13.85;14;33400;466395.5
SELG;D;20111229;000000;14.249;14.99;12.011;12.201;806800;10313194.4
SELG;D;20111230;000000;11.333;11.333;10.209;10.256;223100;2364166.8
SELG;D;20120103;000000;10.75;11.039;10.302;10.499;19000;202645.6
SELG;D;20120104;000000;10.351;10.642;10.317;10.59;25500;268609.2
SELG;D;20120105;000000;10.319;10.479;9.85;10.477;5000;50929.4
SELG;D;20120106;000000;10.83;10.977;10.25;10.554;7400;79923.9
SELG;D;20120109;000000;10.12;10.3;10.12;10.3;4900;50347
