<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
SMLT;D;20201029;000000;969;1053;908;953;210997;201748750
SMLT;D;20201030;000000;955;990;951.6;955;54402;52488207.2
SMLT;D;20201102;000000;955;958;952;957;16599;15857360.4
SMLT;D;20201103;000000;959.6;959.6;952;952.6;8985;8569232.6
SMLT;D;20201105;000000;959;959;944.8;952.8;15505;14773301.6
SMLT;D;20201106;000000;958.2;958.2;950.6;952;9682;9228375.4
SMLT;D;20201109;000000;952;954.2;940.6;942;14891;14100818
SMLT;D;20201110;000000;940.2;951;935;950;12696;11997319
SMLT;D;20201111;000000;950.8;950.8;940.2;948;9998;9441366
SMLT;D;20201112;000000;950;950.6;941;947;3810;3596689.4
SMLT;D;20201113;000000;947;950;941;947;6267;5926348.4
SMLT;D;20201116;000000;949.8;951;941.2;948.4;12746;12077021.4
SMLT;D;20201117;000000;942;950.8;941.2;947.6;5005;4739125
SMLT;D;20201118;000000;948;948;940;947;10422;9839649.4
SMLT;D;20201119;000000;949.6;949.6;942.8;946.2;3687;3487561
SMLT;D;20201120;000000;946.2;949.6;942.2;943.2;3896;3680091.4
SMLT;D;20201123;000000;949.4;949.6;941.2;946.2;8916;8424947
SMLT;D;20201124;000000;942.4;948;941.2;947.8;5497;5182374.8
SMLT;D;20201125;000000;949;950;941.2;949;14179;13448767.4
SMLT;D;20201126;000000;948.2;949.6;941.2;945;6659;6289686
SMLT;D;20201127;000000;948.8;948.8;941.8;946.8;7648;7219531
SMLT;D;20201130;000000;948.4;948.4;942.2;944;2344;2211574
SMLT;D;20201201;000000;942;948.4;940;945;5640;5325458.4
SMLT;D;20201202;000000;941.4;946.6;941.2;946;7150;6746587.4
SMLT;D;20201203;000000;942.2;946;941.2;942.6;6730;6343554.6
SMLT;D;20201204;000000;941.2;944;941;943.8;6791;6401970
SMLT;D;20201207;000000;941.6;944.4;933;935.6;17152;16093114.2
SMLT;D;20201208;000000;942;942;930;935;5705;5329383.6
SMLT;D;20201209;000000;940;946;931;940.8;6474;6090387.2
SMLT;D;20201210;000000;945;945;935;939;7900;7424360.8
SMLT;D;20201211;000000;939;943.8;932;936;2306;2159689.6
SMLT;D;20201214;000000;940;959.4;934.8;952.2;22428;21225385.8
SMLT;D;20201215;000000;952;970;932;967;18436;17530557.2
SMLT;D;20201216;000000;967;967;955.6;959.8;18274;17573321.6
SMLT;D;20201217;000000;963;963;952.2;954;9040;8650160.4
SMLT;D;20201218;000000;957.6;957.6;935;955;11896;11238688.4
SMLT;D;20201221;000000;945.6;953;939;944.4;19114;18080729.4
SMLT;D;20201222;000000;941;955;936;950.2;8513;8054303.2
SMLT;D;20201223;000000;950.4;960;949;950;2543;2421499.2
SMLT;D;20201224;000000;949.6;953.4;945.8;950.2;2126;2019345.8
SMLT;D;20201225;000000;947;967;947;959.2;8025;7727366.4
SMLT;D;20201228;000000;963.6;963.6;950;951;3280;3125782.2
SMLT;D;20201229;000000;963.8;963.8;950;959.4;3557;3408303.6
SMLT;D;20201230;000000;960;960;949.4;958;4391;4188221.8
SMLT;D;20210104;000000;959.4;965;951.4;964.8;4049;3883986.4
SMLT;D;20210105;000000;967;967;951.4;965;5189;4992759.8
SMLT;D;20210106;000000;962;966.6;957.2;962;1380;1330089
SMLT;D;20210108;000000;960.4;964;956.2;958;4322;4146738.2
SMLT;D;20210111;000000;958;966.4;950;961.8;6620;6358425.6
SMLT;D;20210112;000000;962.6;962.6;951.2;956.8;3467;3315831.8
SMLT;D;20210113;000000;960.4;962;950.2;952;2556;2441658
SMLT;D;20210114;000000;957.8;960.4;950.4;951;1883;1796796.4
SMLT;D;20210115;000000;951;955.8;940;951;18292;17316325.6
SMLT;D;20210118;000000;942.6;958.4;942.2;950.6;3044;2895371.6
SMLT;D;20210119;000000;951.8;972.8;951;957.2;10653;10258140.8
SMLT;D;20210120;000000;957.2;973.4;957.2;960;10180;9791229.4
SMLT;D;20210121;000000;960;969.8;950.2;960.6;7198;6899647.4
SMLT;D;20210122;000000;954;960.8;948;951;8909;8472601.6
SMLT;D;20210125;000000;950.4;962.4;950.4;957.2;5360;5134203
SMLT;D;20210126;000000;958;962;951;956;2074;1982182.2
SMLT;D;20210127;000000;958.6;961;953.6;955;3296;3147995.8
SMLT;D;20210128;000000;954.2;970;948.2;960;47156;45140485.8
SMLT;D;20210129;000000;965;969.4;951.8;956.8;11075;10590110.4
SMLT;D;20210201;000000;956.8;967.6;955.2;958;5412;5201484
SMLT;D;20210202;000000;955.6;976;955.6;970;25109;24328114.6
SMLT;D;20210203;000000;960;976;960;972;8587;8328168.6
SMLT;D;20210204;000000;972;1005;947;981;82061;80183440.4
SMLT;D;20210205;000000;980.2;1033;979.8;1005.4;48357;48622450.6
SMLT;D;20210208;000000;1024.8;1132.2;1024.8;1070;111415;120904859.4
SMLT;D;20210209;000000;1066.2;1126;1065.8;1098;39343;42990444.6
SMLT;D;20210210;000000;1100;1100;1064;1091;22306;24103206.4
SMLT;D;20210211;000000;1069.8;1100;1056.4;1095;26476;28968067.2
SMLT;D;20210212;000000;1093.4;1100;1062.2;1072.4;25090;27235024.4
