<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
URKA;D;20071120;000000;115;146.9;115;120;4433;564053.72
URKA;D;20071121;000000;124;135.57;120;124.5;5124;643170.74
URKA;D;20071122;000000;165;165;126.81;126.81;3279;432038.41
URKA;D;20071123;000000;126;134.99;120;124;4827;610618.98
URKA;D;20071126;000000;118.51;129.97;118.51;124.24;17311;2085870.46
URKA;D;20071127;000000;122;122.99;110.5;116;18309;2109742.91
URKA;D;20071128;000000;116.4;116.4;103;105.5;15219;1605635.6
URKA;D;20071129;000000;109;114.54;106.2;110.33;12426;1364615.65
URKA;D;20071130;000000;114.9;126;105.62;120;79602;9348237.43
URKA;D;20071203;000000;121;121.09;118.01;120.6;15559;1873310.97
URKA;D;20071204;000000;119;120;114.14;119;28375;3365091.68
URKA;D;20071205;000000;118.99;128.5;117.5;126.5;64582;7969088.24
URKA;D;20071206;000000;126;132;125;131;49148;6450097.39
URKA;D;20071207;000000;131;141.5;125.1;140.99;97175;12963042.68
URKA;D;20071210;000000;141.31;145;141.1;143.09;13538;1933366.25
URKA;D;20071211;000000;144;146;141;141;17355;2476870.06
URKA;D;20071212;000000;137.1;144.95;136.01;143.37;42786;6098130.92
URKA;D;20071213;000000;142.07;156.5;137.2;155.97;30604;4505350.78
URKA;D;20071214;000000;160;175;155;158.7;182373;29626942.56
URKA;D;20071217;000000;158.93;158.93;147.5;148.6;129147;19406979.95
URKA;D;20071218;000000;150;154.49;148.55;151.5;120683;18326972.65
URKA;D;20071219;000000;152.58;153;149.1;151.5;167330;25307823.89
URKA;D;20071220;000000;151;152.92;150.11;152.1;104069;15786180.57
URKA;D;20071221;000000;152;164.32;151.7;163.54;236445;37721262.38
URKA;D;20071224;000000;165;181;162;180.97;500569;86437871
URKA;D;20071225;000000;180.96;186.99;178;181;206742;37873378.79
URKA;D;20071226;000000;178.6;181.8;175.15;178.98;145820;26073666.07
URKA;D;20071227;000000;179.25;182.5;173.31;175;164952;29504131.74
URKA;D;20071228;000000;175;187;174.5;183.99;80724;14423663
URKA;D;20080109;000000;182.5;187;179.51;183.65;81142;14873990.1
URKA;D;20080110;000000;189.92;189.92;181.04;183.55;161807;29737759.7
URKA;D;20080111;000000;182;183.3;176.3;177;124718;22359690.81
URKA;D;20080114;000000;179.49;180;166;167;155028;26377635.69
URKA;D;20080115;000000;169.25;179;163.88;172.89;222355;38248997.87
URKA;D;20080116;000000;171.05;172;163.01;169;224613;37541230.56
