<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
UWGN;D;20150430;000000;715;725;701;710;86237;60863565.7
UWGN;D;20150505;000000;740;740;709;734.9;156;115167.8
UWGN;D;20150506;000000;715;717;711.2;711.3;149;106548.2
UWGN;D;20150507;000000;712.2;714.9;705;714.8;276;195342.3
UWGN;D;20150508;000000;720;720;714.9;714.9;10;7186.4
UWGN;D;20150512;000000;706.6;729.9;700.5;712.6;53;37470.1
UWGN;D;20150513;000000;712.6;712.6;675;704.1;956;670328.1
UWGN;D;20150514;000000;703;707.9;703;703;321;225667.9
UWGN;D;20150515;000000;702.3;707.7;685;706.9;13;9105.4
UWGN;D;20150518;000000;702.3;715;700.2;715;9409;6682547.9
UWGN;D;20150519;000000;705;705;700.8;700.8;116;81725.1
UWGN;D;20150520;000000;705.1;712.5;702.4;702.4;10924;7767759.7
UWGN;D;20150521;000000;709.8;735;700.1;721;24091;17239406.5
UWGN;D;20150522;000000;705;727;705;727;4505;3263047
UWGN;D;20150525;000000;727;850;720;739.9;714901;514764532.5
UWGN;D;20150526;000000;740;750;720;729;495;365209.3
UWGN;D;20150527;000000;729;850;720;777.7;716012;515597522.7
UWGN;D;20150528;000000;777;777;730;757;235;176309.9
UWGN;D;20150529;000000;777.7;900;721;740;741706;537707348.9
UWGN;D;20150601;000000;813;813;702.3;729;144573;104674347.6
UWGN;D;20150602;000000;721;725;721;724;18978;13732084.3
UWGN;D;20150603;000000;728;732.8;725;732.8;317;230603.8
UWGN;D;20150604;000000;725;735;720;720;463;335635.7
UWGN;D;20150605;000000;780;780;720;740;13;9619.7
UWGN;D;20150608;000000;725;726;724;724;1550;1124398
UWGN;D;20150609;000000;725;725;724;725;93;67352
UWGN;D;20150610;000000;724;724;724;724;48;34752
UWGN;D;20150611;000000;725;725;724;724;55;39847
UWGN;D;20150615;000000;724;725;445;724;1826;1311626.9
UWGN;D;20150616;000000;725;725;724;724;16;11589
UWGN;D;20150617;000000;725;725;724;725;8;5794
UWGN;D;20150618;000000;724;725;724;724;4;2897
UWGN;D;20150619;000000;725;725;725;725;659;477775
UWGN;D;20150622;000000;725;725;724;725;3719432;2692868770
UWGN;D;20150623;000000;726;727;724;727;257240;186244480
UWGN;D;20150624;000000;728;747;723;730;1026;746928
UWGN;D;20150625;000000;723;723.1;723;723;208;150384.1
UWGN;D;20150626;000000;724.1;727;724.1;727;16;11629.1
UWGN;D;20150629;000000;727;727;725;725;77;55905
UWGN;D;20150630;000000;725;728;725;728;3;2178
UWGN;D;20150706;000000;725;725;725;725;6;4350
UWGN;D;20150707;000000;725;732;725;731.8;8;5848.4
UWGN;D;20150708;000000;725.2;725.2;723;723;239;173014.4
UWGN;D;20150709;000000;723.2;723.2;723.2;723.2;2;1446.4
UWGN;D;20150713;000000;723.1;723.1;723.1;723.1;1;723.1
UWGN;D;20150714;000000;723.1;729;723.1;723.3;21;15244.3
