<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
VSMO;D;20150731;000000;9180;9180;9110;9150;57;520470
VSMO;D;20150803;000000;9160;9220;9020;9060;127;1156090
VSMO;D;20150804;000000;9120;9160;9080;9080;84;765540
VSMO;D;20150805;000000;9020;9140;9020;9100;30;272890
VSMO;D;20150806;000000;9030;9100;9020;9030;97;878420
VSMO;D;20150807;000000;9070;9140;9000;9100;117;1059180
VSMO;D;20150810;000000;9100;9580;9070;9550;1220;11208810
VSMO;D;20150811;000000;9590;9690;9550;9600;119;1141290
VSMO;D;20150812;000000;9780;11010;9740;10460;1651;17017840
VSMO;D;20150813;000000;10620;12680;10620;11500;3114;35885420
VSMO;D;20150814;000000;11730;12370;11510;12020;1993;24052460
VSMO;D;20150817;000000;12030;12330;12030;12160;565;6874240
VSMO;D;20150818;000000;12250;12320;11610;11800;528;6289420
VSMO;D;20150819;000000;11740;11740;11090;11280;1571;17799650
VSMO;D;20150820;000000;11280;11500;11080;11200;692;7761790
VSMO;D;20150821;000000;11290;11370;11180;11330;232;2619550
VSMO;D;20150824;000000;11330;11560;11010;11510;691;7854730
VSMO;D;20150825;000000;11560;11780;11500;11690;501;5815670
VSMO;D;20150826;000000;11680;12050;11340;11910;393;4613460
VSMO;D;20150827;000000;11890;12000;11820;12000;146;1738270
VSMO;D;20150828;000000;12000;13300;12000;12940;1275;16429130
VSMO;D;20150831;000000;12950;12950;12250;12400;608;7605690
VSMO;D;20150901;000000;12400;12940;12270;12530;256;3222480
VSMO;D;20150902;000000;12530;12750;12450;12680;158;1996720
VSMO;D;20150903;000000;12840;13000;12730;12930;168;2168490
VSMO;D;20150904;000000;12990;12990;12580;12800;124;1582100
VSMO;D;20150907;000000;12700;12880;12680;12690;82;1044600
VSMO;D;20150908;000000;12890;12890;12700;12800;197;2515630
VSMO;D;20150909;000000;12860;13140;12800;13020;277;3592610
VSMO;D;20150910;000000;13190;13190;12710;12880;301;3901050
VSMO;D;20150911;000000;12910;13090;12880;13020;1231;15998290
VSMO;D;20150914;000000;13080;13500;13050;13300;317;4223970
VSMO;D;20150915;000000;13330;13400;13040;13100;505;6725830
VSMO;D;20150916;000000;13250;13250;12940;13050;489;6406020
VSMO;D;20150917;000000;13090;13100;12900;12930;267;3460910
VSMO;D;20150918;000000;12990;13090;12870;12970;186;2415690
VSMO;D;20150921;000000;12940;13090;12860;12900;176;2276410
VSMO;D;20150922;000000;12970;12970;12730;12750;472;6047990
VSMO;D;20150923;000000;12730;12830;12430;12630;463;5821740
VSMO;D;20150924;000000;12680;12850;12300;12520;481;6001800
VSMO;D;20150925;000000;12520;12520;12430;12440;665;8316670
VSMO;D;20150928;000000;12480;12570;12300;12410;274;3406650
VSMO;D;20150929;000000;12480;12550;12370;12470;374;4664770
VSMO;D;20150930;000000;12480;12570;12440;12450;540;6762670
VSMO;D;20151001;000000;12450;12580;12380;12390;328;4080180
VSMO;D;20151002;000000;12490;12490;12390;12490;196;2438680
VSMO;D;20151005;000000;12500;12920;12450;12850;319;4030450
VSMO;D;20151006;000000;12850;13200;12750;12980;986;12805730
VSMO;D;20151007;000000;13000;13100;12810;13000;1611;20826030
VSMO;D;20151008;000000;12390;12390;12010;12060;1556;18861770
VSMO;D;20151009;000000;12130;12250;12100;12140;730;8897740
VSMO;D;20151012;000000;12130;12130;11820;11850;421;5010970
VSMO;D;20151013;000000;11880;11990;11880;11960;67;799900
VSMO;D;20151014;000000;11970;12000;11760;11810;247;2919340
VSMO;D;20151015;000000;11780;11820;11650;11750;1027;11995710
VSMO;D;20151016;000000;11750;11790;11670;11760;91;1069240
VSMO;D;20151019;000000;11740;11850;11720;11760;63;740630
VSMO;D;20151020;000000;11710;11750;11610;11610;250;2929050
VSMO;D;20151021;000000;11650;11700;11100;11330;521;5888630
VSMO;D;20151022;000000;11230;11330;11030;11310;197;2206450
VSMO;D;20151023;000000;11200;11680;11200;11540;88;1013950
VSMO;D;20151026;000000;11510;11510;11110;11250;176;1978310
VSMO;D;20151027;000000;11410;11500;11360;11500;250;2860900
VSMO;D;20151028;000000;11550;11720;11510;11710;155;1804840
VSMO;D;20151029;000000;11720;11780;11590;11610;139;1623090
VSMO;D;20151030;000000;11550;11700;11550;11670;87;1010200
VSMO;D;20151102;000000;11780;11780;11550;11550;204;2365370
VSMO;D;20151103;000000;11620;11700;11620;11650;94;1098140
VSMO;D;20151105;000000;11650;11990;11220;11720;430;5058150
VSMO;D;20151106;000000;11730;11900;11720;11860;184;2184570
VSMO;D;20151109;000000;11980;12030;11910;11930;302;3625200
VSMO;D;20151110;000000;11970;12010;11860;11860;79;942960
VSMO;D;20151111;000000;11850;11930;11800;11810;1208;14372470
VSMO;D;20151112;000000;11810;11950;11700;11950;55;650490
VSMO;D;20151113;000000;11990;11990;11780;11780;100;1184130
VSMO;D;20151116;000000;11840;11920;11760;11780;72;851410
VSMO;D;20151117;000000;11930;12000;11850;11850;387;4629810
VSMO;D;20151118;000000;11840;11970;11790;11790;133;1578160
VSMO;D;20151119;000000;11820;11820;11700;11720;253;2976730
VSMO;D;20151120;000000;11800;11980;11680;11680;211;2490860
VSMO;D;20151123;000000;11690;11920;11610;11850;383;4488940
VSMO;D;20151124;000000;11870;11960;11700;11770;170;2014780
VSMO;D;20151125;000000;11900;11950;11600;11760;179;2108510
VSMO;D;20151126;000000;11770;11870;11660;11710;57;670310
VSMO;D;20151127;000000;11620;11820;11610;11620;189;2209400
VSMO;D;20151130;000000;11680;11690;11500;11570;309;3574020
VSMO;D;20151201;000000;11670;11670;11550;11600;29;335770
VSMO;D;20151202;000000;11700;11720;11490;11570;133;1539680
VSMO;D;20151203;000000;11500;11640;11480;11640;116;1340860
VSMO;D;20151204;000000;11600;11800;11600;11640;190;2222960
VSMO;D;20151207;000000;11600;11720;11580;11620;118;1371990
VSMO;D;20151208;000000;11600;11780;11510;11780;216;2512570
VSMO;D;20151209;000000;11790;11810;11560;11700;76;891690
VSMO;D;20151210;000000;11680;11800;11680;11780;65;763640
VSMO;D;20151211;000000;11790;12080;11700;11970;631;7536540
VSMO;D;20151214;000000;11990;12170;11810;12130;179;2159150
VSMO;D;20151215;000000;12150;12400;12110;12220;551;6744480
VSMO;D;20151216;000000;12300;12380;12260;12360;133;1640860
VSMO;D;20151217;000000;12440;12500;12400;12470;49;610610
VSMO;D;20151218;000000;12160;12400;12160;12370;458;5638040
VSMO;D;20151221;000000;12300;12450;12150;12240;381;4676530
VSMO;D;20151222;000000;12300;12370;12070;12070;109;1330890
VSMO;D;20151223;000000;12200;12200;11740;11830;148;1760800
VSMO;D;20151224;000000;11730;12110;11700;11910;243;2894450
VSMO;D;20151225;000000;11990;12180;11620;11950;73;870210
VSMO;D;20151228;000000;11830;12100;11700;11890;160;1909610
VSMO;D;20151229;000000;12090;12290;12030;12210;97;1179480
VSMO;D;20151230;000000;12220;12360;12200;12360;158;1947150
VSMO;D;20160104;000000;12210;12460;12210;12420;28;347970
VSMO;D;20160105;000000;12470;12480;12300;12420;38;471570
