№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (28.02.2013),Data Source,Unnamed: 9
1,AFKS,"ОАО АФК ""Система"", ао","AFK SISTEMA, Common",9650000000,0.12,1.0,0.0062,T0,
2,AFLT,"ОАО ""Аэрофлот"", ао","JSC ""AEROFLOT"", Common",1110616299,0.32,1.0,0.0039,T0,
3,AKRN,"ОАО Акрон, ао","Acron, Common",40534000,0.13,1.0,0.0015,T0,
4,ALRS,"ОАО АК АЛРОСА, ао","AC ""ALROSA"", Common",7364965630,0.09,1.0,0.0045,T0,
5,BANE,"ОАО Башнефть, ао","OAO ANK ""Bashneft'"", Common",170169754,0.12,1.0,0.0087,T0,
6,BANEP,"ОАО Башнефть, ап","OAO ANK ""Bashneft'"", Pref",34622686,1.0,1.0,0.0098,T0,
7,CHMF,"ОАО ""Северсталь"", ао","Severstal, Common",837718660,0.21,1.0,0.0124,T0,Standard
8,DIXY,"ОАО ДИКСИ Групп, ао","DIXY Group, Common",124750000,0.33,1.0,0.0038,T0,
9,EONR,"ОАО ""Э.ОН Россия"", ао","OAO ""E.ON Rossiya"", Common",63048706145,0.18,1.0,0.0065,T0,
10,FEES,"ОАО ""ФСК ЕЭС"", ао","""FGC UES"", JSC, Common",1260386658740,0.21,1.0,0.0104,T0,Standard
11,GAZP,"ОАО ""Газпром"", ао","GAZPROM, Common",23673512900,0.46,0.4896413,0.15,T0,Standard
12,GMKN,"ОАО ГМК ""Норильский Никель"", ао","""OJSC ""MMC ""NORILSK NICKEL"", Common",190627747,0.24,0.921959,0.0472,T0,Standard
13,HYDR,"ОАО ""РусГидро"", ао","JSC ""RusHydro"", Common",317637520094,0.34,1.0,0.0153,T0,Standard
14,IRAO,"ОАО ""ИНТЕР РАО ЕЭС"", ао","JSC ""INTER RAO UES"", Common",10380956390935,0.18,1.0,0.0082,T0,Standard
15,LKOH,"ОАО ""Лукойл"", ао","ОАО ""LUKOIL"", Common",850563255,0.57,0.7365335,0.1443,T0,Standard
16,LSRG,"ОАО Группа ЛСР, ао","OJSC LSR Group, Common",103030215,0.15,1.0,0.0021,T0,
17,MAGN,"ОАО ""ММК"", ао","OJSC ""MMK"", Common",11174330000,0.05,1.0,0.0011,T0,Standard
18,MGNT,"ОАО ""Магнит"", ао","OJSC ""Magnit"", Common",94561355,0.24,1.0,0.0264,T0,
19,MOEX,"ОАО Московская Биржа, ао","Moscow Exchange, Common",2197409846,0.25,1.0,0.0061,T0,
20,MRKH,"ОАО ""Холдинг МРСК"", ао","JSC ""IDGC Holding"", Common",47871694416,0.3,1.0,0.0056,T0,
21,MSNG,"ОАО ""Мосэнерго"", ао","AO MOSENERGO, Common",39749359700,0.15,1.0,0.0017,T0,
22,MSRS,"ОАО МОЭСК, ао","MOESK, Common",48707091574,0.18,1.0,0.003,T0,
23,MSTT,"ОАО МОСТОТРЕСТ, ао","OAO ""MOSTOTREST"", Common",282215500,0.3,1.0,0.0028,T0,
