<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ЛУКОЙЛ;D;20020108;000000;403.15;426.48;403.15;420;1385900;574808473.75
ЛУКОЙЛ;D;20020109;000000;369.5;433.35;369.5;426.61;1476737;624708187
ЛУКОЙЛ;D;20020110;000000;424.1;431.3;420.01;426;1566808;668647830.24
ЛУКОЙЛ;D;20020111;000000;425;431.7;423;428.01;808508;345813223.7
ЛУКОЙЛ;D;20020114;000000;424.9;424.9;415.5;418;824284;345103377.47
ЛУКОЙЛ;D;20020115;000000;411.75;421.99;409;421.9;1054812;438618189.47
ЛУКОЙЛ;D;20020116;000000;418.05;424.5;415.55;418.5;720254;301744366.53
ЛУКОЙЛ;D;20020117;000000;417.25;439;417.25;439;1301068;560247143.64
ЛУКОЙЛ;D;20020118;000000;452;458.5;440.5;450;1903013;857531004.35
ЛУКОЙЛ;D;20020121;000000;401.5;461;401.5;457.2;1053452;479647267.44
ЛУКОЙЛ;D;20020122;000000;457;476.5;457;474.5;1392017;651874603.68
ЛУКОЙЛ;D;20020123;000000;473.75;479.5;469.4;472.5;1449867;686148125.15
ЛУКОЙЛ;D;20020124;000000;469.9;470.8;438.5;442.02;2072094;935942801.96
ЛУКОЙЛ;D;20020125;000000;445;445;423;426;1572508;684555863.02
ЛУКОЙЛ;D;20020128;000000;425.03;440.9;422;439;1343693;581918663.28
ЛУКОЙЛ;D;20020129;000000;441.25;456.5;439.01;451.01;1582358;705032045.79
ЛУКОЙЛ;D;20020130;000000;443.9;443.9;419.1;428.1;1509338;648373670.58
ЛУКОЙЛ;D;20020131;000000;436.25;441.94;429.5;432;850406;370860299.63
ЛУКОЙЛ;D;20020201;000000;438.98;442;426.25;428;579832;252078064.63
ЛУКОЙЛ;D;20020204;000000;430.01;431.5;419.1;427.5;597295;253440988.24
ЛУКОЙЛ;D;20020205;000000;420;430.98;416.25;429.95;1030918;436141000.4
ЛУКОЙЛ;D;20020206;000000;432;442.75;423.5;437.9;1704838;740925712.28
ЛУКОЙЛ;D;20020207;000000;435;450;431.2;443.5;1121731;497139496.82
ЛУКОЙЛ;D;20020208;000000;442.63;449;438.1;438.7;674778;298420097.97
ЛУКОЙЛ;D;20020211;000000;445.25;448;438;438.01;963141;426390712.44
ЛУКОЙЛ;D;20020212;000000;448;452.7;442.01;445;1240144;555058074.18
ЛУКОЙЛ;D;20020213;000000;445.17;446.5;433.5;438.5;939917;411561670.06
ЛУКОЙЛ;D;20020214;000000;422.78;426.85;410;417.99;1714804;717731070.91
ЛУКОЙЛ;D;20020215;000000;417;419;404.8;405;940729;388110081.16
ЛУКОЙЛ;D;20020218;000000;400.05;402.5;389;394.3;892584;352705281.46
ЛУКОЙЛ;D;20020219;000000;393.7;399.95;387;389.4;721367;283867600.83
ЛУКОЙЛ;D;20020220;000000;383;385;375;383.49;1047270;398057007.49
ЛУКОЙЛ;D;20020221;000000;385.1;390;381.15;387.52;726118;280174904.77
ЛУКОЙЛ;D;20020222;000000;387.93;403.48;384;400.6;1029839;406984269.88
ЛУКОЙЛ;D;20020226;000000;400.31;406;388.01;391;773923;308473986.98
ЛУКОЙЛ;D;20020227;000000;394;395.99;382.53;388.5;572280;222134204.59
ЛУКОЙЛ;D;20020228;000000;390;390;373;375.2;778947;295896373.29
ЛУКОЙЛ;D;20020301;000000;374.7;394.5;374.1;393.9;833495;323871080.72
ЛУКОЙЛ;D;20020304;000000;404;410;399;399.4;1033894;417869489.22
ЛУКОЙЛ;D;20020305;000000;403.05;406.99;394;403.5;858846;344462108.68
ЛУКОЙЛ;D;20020306;000000;404;405.98;398.6;404;652985;263435247.98
ЛУКОЙЛ;D;20020307;000000;409;416.5;408.25;413.45;1093162;452444487.8
ЛУКОЙЛ;D;20020311;000000;366.05;415;366.05;399.54;761158;308490096.43
ЛУКОЙЛ;D;20020312;000000;403;406.19;395.2;397.55;864731;346280317.62
ЛУКОЙЛ;D;20020313;000000;402;410.97;402;404.5;977877;398594962.08
ЛУКОЙЛ;D;20020314;000000;405.05;412.5;401.1;410.8;777679;317496920.17
ЛУКОЙЛ;D;20020315;000000;414;423;411;420.99;1347584;561856448.83
ЛУКОЙЛ;D;20020318;000000;427.1;434.5;424;431.3;1076640;462997319.53
ЛУКОЙЛ;D;20020319;000000;432.98;432.98;422.01;425.45;875855;373661381.02
ЛУКОЙЛ;D;20020320;000000;423.85;424.4;414;417;894913;374046793.85
ЛУКОЙЛ;D;20020321;000000;414.4;427.4;411;425.5;952958;400604656.77
ЛУКОЙЛ;D;20020322;000000;429;439.25;424.5;427.5;1635047;707047684.45
ЛУКОЙЛ;D;20020325;000000;384.27;433.97;384.27;414.98;850132;362414746.79
ЛУКОЙЛ;D;20020326;000000;412;415.8;408.56;413.2;657686;271080478.61
ЛУКОЙЛ;D;20020327;000000;421.15;440;420;435.5;1638654;706443621.11
ЛУКОЙЛ;D;20020328;000000;426.75;457;426.75;456;1613420;719178902.69
ЛУКОЙЛ;D;20020329;000000;457;460;450;454.5;775523;352657541.96
ЛУКОЙЛ;D;20020401;000000;445.63;456;445.63;455.8;320688;145390391.14
ЛУКОЙЛ;D;20020402;000000;463.7;463.7;449.17;450.5;951582;432169943.42
ЛУКОЙЛ;D;20020403;000000;453.08;455.9;427;440;1643560;718462171.04
ЛУКОЙЛ;D;20020404;000000;437.13;444.75;435;442.01;974621;430425647.52
ЛУКОЙЛ;D;20020405;000000;446.13;451.97;443;449;1158435;519028952.88
ЛУКОЙЛ;D;20020408;000000;446;456;444;453;1007802;454708538.6
ЛУКОЙЛ;D;20020409;000000;459.98;476;459;467.93;1777145;833321270.66
ЛУКОЙЛ;D;20020410;000000;463.9;481.8;463;480;1539592;732798014.12
ЛУКОЙЛ;D;20020411;000000;481.95;494.9;467.11;492;2153497;1033624683.06
ЛУКОЙЛ;D;20020412;000000;490.05;497.5;472.5;479.5;1314900;637535242.87
ЛУКОЙЛ;D;20020415;000000;489.5;508.95;484.12;503;1485501;741188354.18
ЛУКОЙЛ;D;20020416;000000;507;515.85;498.51;502;1121733;567541810.91
ЛУКОЙЛ;D;20020417;000000;512.08;515;505;509;836289;426817788.52
ЛУКОЙЛ;D;20020418;000000;516;535.8;514.11;529.5;1450846;765696335.83
ЛУКОЙЛ;D;20020419;000000;524.87;542;521;540;1345548;714760127.01
ЛУКОЙЛ;D;20020422;000000;543.5;546.98;523.5;523.5;1104889;591583436.9
ЛУКОЙЛ;D;20020423;000000;518.75;539.5;513;528;1864112;988469998.45
ЛУКОЙЛ;D;20020424;000000;529.13;541.88;523.55;538.5;1230659;659082861.23
ЛУКОЙЛ;D;20020425;000000;536.75;548.48;535.25;536.5;1179715;638291049.56
ЛУКОЙЛ;D;20020426;000000;544.05;561.8;543.5;561.5;1612340;890053593.49
ЛУКОЙЛ;D;20020427;000000;559;563;556.12;560.38;318133;177888444.34
ЛУКОЙЛ;D;20020429;000000;562.95;569.48;561;562;501968;283515465.86
ЛУКОЙЛ;D;20020430;000000;564.88;565;550.23;556;435581;242631761.91
ЛУКОЙЛ;D;20020506;000000;558.68;558.98;540.5;545.01;472684;258189868.78
ЛУКОЙЛ;D;20020507;000000;539.5;539.8;522;524.98;569524;300968910.35
ЛУКОЙЛ;D;20020508;000000;526;544.12;523;544;291970;155754834.89
ЛУКОЙЛ;D;20020513;000000;540;540;522.1;536.99;644186;342476992.88
ЛУКОЙЛ;D;20020514;000000;543.25;564.5;542.9;557.5;944538;523956127.85
ЛУКОЙЛ;D;20020515;000000;563.18;569;553.21;555;840307;471535675.97
ЛУКОЙЛ;D;20020516;000000;553;559.87;546;552;811750;449180922.75
ЛУКОЙЛ;D;20020517;000000;556;561;553.5;557;796752;444418767.97
ЛУКОЙЛ;D;20020518;000000;555.01;564.8;554.01;564;348192;195487568.77
ЛУКОЙЛ;D;20020520;000000;563.5;577.5;558.15;560.32;1067023;606481460.58
ЛУКОЙЛ;D;20020521;000000;555.7;558.98;549;557.75;826669;457829734.97
ЛУКОЙЛ;D;20020522;000000;554.52;556;541.05;544;796210;435946062.6
ЛУКОЙЛ;D;20020523;000000;551.05;568;550;556.98;1177494;659615312.66
ЛУКОЙЛ;D;20020524;000000;555.13;559.6;546.14;554.5;918379;508406675.49
ЛУКОЙЛ;D;20020527;000000;555.2;583;555.2;581.49;1168762;664140934.87
ЛУКОЙЛ;D;20020528;000000;582.95;586.69;547.51;552.21;1917638;1085423546.33
ЛУКОЙЛ;D;20020529;000000;556.11;557.5;538.6;550;1112106;608581365.62
ЛУКОЙЛ;D;20020530;000000;557;562;536;540;872621;479445113.62
ЛУКОЙЛ;D;20020531;000000;537.1;560.9;535.01;555;914286;499538269.81
ЛУКОЙЛ;D;20020603;000000;556.34;559.8;544;544.01;325844;178995916.25
ЛУКОЙЛ;D;20020604;000000;540.2;543.95;535.5;542.4;417701;225534785.31
ЛУКОЙЛ;D;20020605;000000;547;549;537.1;546.05;440020;239148542.55
ЛУКОЙЛ;D;20020606;000000;549.8;569;547.1;563.49;1024211;574674439.31
ЛУКОЙЛ;D;20020607;000000;559.93;562;548;556.2;684938;379538050.99
ЛУКОЙЛ;D;20020610;000000;558.5;568;556.22;561.28;431969;243318619.47
ЛУКОЙЛ;D;20020611;000000;562.45;562.45;551.5;555.48;447015;248026122.47
ЛУКОЙЛ;D;20020613;000000;559.05;560.99;550;550.8;365611;202617515.63
ЛУКОЙЛ;D;20020614;000000;555.5;555.5;534;540.01;584221;317107732.63
ЛУКОЙЛ;D;20020617;000000;541.85;550;539.25;546;656402;357184724.64
ЛУКОЙЛ;D;20020618;000000;547.53;550;527.2;536;513791;276132616.29
ЛУКОЙЛ;D;20020619;000000;530;531;525;530;492523;260156840.55
ЛУКОЙЛ;D;20020620;000000;524.98;533;509.01;509.01;453989;236788243.62
ЛУКОЙЛ;D;20020621;000000;415.25;523;415.25;522;1226134;623617955.21
ЛУКОЙЛ;D;20020624;000000;520.83;521.9;494;496.9;590223;298575509.24
ЛУКОЙЛ;D;20020625;000000;501.15;513.9;501;513.9;482885;245248642.71
ЛУКОЙЛ;D;20020626;000000;499.35;499.35;481.1;494.5;733877;358507219.84
ЛУКОЙЛ;D;20020627;000000;502.5;519.4;495;518;805929;410104965.85
ЛУКОЙЛ;D;20020628;000000;519.9;523;501;510;397651;203226540.32
ЛУКОЙЛ;D;20020701;000000;511;523.67;503;519.55;267481;137790893.7
ЛУКОЙЛ;D;20020702;000000;517.28;520;508.11;508.17;339895;174753402.67
ЛУКОЙЛ;D;20020703;000000;511;517.8;493.03;510;921727;464011224.18
ЛУКОЙЛ;D;20020704;000000;469.01;524.87;469.01;521;526769;273910605.72
ЛУКОЙЛ;D;20020705;000000;524;540;521.01;537.25;507116;270205889.73
ЛУКОЙЛ;D;20020708;000000;540;540;526.55;536;420124;224523721.55
ЛУКОЙЛ;D;20020709;000000;533.2;540;532;539;590069;316295755.37
ЛУКОЙЛ;D;20020710;000000;536;546.47;535.14;540;659160;357210544.48
ЛУКОЙЛ;D;20020711;000000;538;538.8;524.5;527.9;434161;231025382.98
ЛУКОЙЛ;D;20020712;000000;535;539.48;518;521.5;507961;267857671.42
